,prices
177,"[1708041600000, 7.77147]"
178,"[1708128000000, 7.6603]"
179,"[1708214400000, 7.69196]"
180,"[1708300800000, 7.84374]"
181,"[1708387200000, 8.03281]"
182,"[1708473600000, 7.73469]"
183,"[1708560000000, 7.4737]"
184,"[1708646400000, 7.49656]"
185,"[1708732800000, 7.5758]"
186,"[1708819200000, 7.80488]"
187,"[1708905600000, 7.93087]"
188,"[1708992000000, 8.0893]"
189,"[1709078400000, 8.36582]"
190,"[1709164800000, 8.37281]"
191,"[1709251200000, 8.24845]"
192,"[1709337600000, 8.64116]"
193,"[1709424000000, 9.43448]"
194,"[1709510400000, 9.79544]"
195,"[1709596800000, 9.92646]"
196,"[1709683200000, 9.37163]"
197,"[1709769600000, 10.50852]"
198,"[1709856000000, 10.41194]"
199,"[1709942400000, 10.68123]"
200,"[1710028800000, 10.5382]"
201,"[1710115200000, 10.27313]"
202,"[1710201600000, 11.06067]"
203,"[1710288000000, 10.73631]"
204,"[1710374400000, 11.27106]"
205,"[1710460800000, 11.46316]"
206,"[1710547200000, 10.82218]"
207,"[1710633600000, 9.67134]"
208,"[1710720000000, 10.07218]"
209,"[1710806400000, 9.91063]"
210,"[1710892800000, 8.78512]"
211,"[1710979200000, 9.48814]"
212,"[1711065600000, 9.17773]"
213,"[1711152000000, 8.90351]"
214,"[1711238400000, 9.01514]"
215,"[1711324800000, 9.37592]"
216,"[1711411200000, 9.72685]"
217,"[1711497600000, 9.70041]"
218,"[1711584000000, 9.4432]"
219,"[1711670400000, 9.5205]"
220,"[1711756800000, 9.58864]"
221,"[1711843200000, 9.43757]"
222,"[1711929600000, 9.62958]"
223,"[1712016000000, 9.17129]"
224,"[1712102400000, 8.58267]"
225,"[1712188800000, 8.43588]"
226,"[1712275200000, 8.48912]"
227,"[1712361600000, 8.40221]"
228,"[1712448000000, 8.49612]"
229,"[1712534400000, 8.70133]"
230,"[1712620800000, 9.03545]"
231,"[1712707200000, 8.66139]"
232,"[1712793600000, 8.40984]"
233,"[1712880000000, 8.37289]"
234,"[1712966400000, 7.24591]"
235,"[1713052800000, 6.44683]"
236,"[1713139200000, 6.8773]"
237,"[1713225600000, 6.71377]"
238,"[1713312000000, 6.70074]"
239,"[1713398400000, 6.58405]"
240,"[1713484800000, 6.7812]"
241,"[1713571200000, 6.69994]"
242,"[1713657600000, 7.21301]"
243,"[1713744000000, 7.13406]"
244,"[1713830400000, 7.47489]"
245,"[1713916800000, 7.24498]"
246,"[1714003200000, 6.93256]"
247,"[1714089600000, 6.86135]"
248,"[1714176000000, 6.75749]"
249,"[1714262400000, 6.81015]"
250,"[1714348800000, 6.71418]"
251,"[1714435200000, 6.59092]"
252,"[1714521600000, 6.42412]"
253,"[1714608000000, 6.8558]"
254,"[1714694400000, 7.2894]"
255,"[1714780800000, 7.25525]"
256,"[1714867200000, 7.12384]"
257,"[1714953600000, 7.30547]"
258,"[1715040000000, 7.12125]"
259,"[1715126400000, 7.00285]"
260,"[1715212800000, 7.00076]"
261,"[1715299200000, 7.04886]"
262,"[1715385600000, 6.75307]"
263,"[1715472000000, 6.65471]"
264,"[1715558400000, 6.62156]"
265,"[1715644800000, 6.66495]"
266,"[1715731200000, 6.47611]"
267,"[1715817600000, 6.95895]"
268,"[1715904000000, 7.02805]"
269,"[1715990400000, 7.19975]"
270,"[1716076800000, 7.15206]"
271,"[1716163200000, 6.93127]"
272,"[1716249600000, 7.56855]"
273,"[1716336000000, 7.6114]"
274,"[1716422400000, 7.45248]"
275,"[1716508800000, 7.20426]"
276,"[1716595200000, 7.24527]"
277,"[1716681600000, 7.4282]"
278,"[1716768000000, 7.55322]"
279,"[1716854400000, 7.62803]"
280,"[1716940800000, 7.3668]"
281,"[1717027200000, 7.16907]"
282,"[1717113600000, 6.99812]"
283,"[1717200000000, 6.98674]"
284,"[1717286400000, 7.05833]"
285,"[1717372800000, 6.98103]"
286,"[1717459200000, 7.01113]"
287,"[1717545600000, 7.19105]"
288,"[1717632000000, 7.25404]"
289,"[1717718400000, 7.14167]"
290,"[1717804800000, 6.65897]"
291,"[1717891200000, 6.38761]"
292,"[1717977600000, 6.5194]"
293,"[1718064000000, 6.51023]"
294,"[1718150400000, 6.37958]"
295,"[1718236800000, 6.74084]"
296,"[1718323200000, 6.3608]"
297,"[1718409600000, 6.16293]"
298,"[1718496000000, 6.22069]"
299,"[1718582400000, 6.37781]"
300,"[1718668800000, 6.07031]"
301,"[1718755200000, 5.76664]"
302,"[1718841600000, 5.79045]"
303,"[1718928000000, 5.6376]"
304,"[1719014400000, 5.60976]"
305,"[1719100800000, 5.74506]"
306,"[1719187200000, 5.63785]"
307,"[1719273600000, 5.72916]"
308,"[1719360000000, 5.84329]"
309,"[1719446400000, 5.79079]"
310,"[1719532800000, 6.27788]"
311,"[1719619200000, 6.1682]"
312,"[1719705600000, 6.06873]"
313,"[1719792000000, 6.20712]"
314,"[1719878400000, 6.33637]"
315,"[1719964800000, 6.51025]"
316,"[1720051200000, 6.06159]"
317,"[1720137600000, 5.56173]"
318,"[1720224000000, 5.67044]"
319,"[1720310400000, 6.2393]"
320,"[1720396800000, 5.8971]"
321,"[1720483200000, 5.93942]"
322,"[1720569600000, 6.11278]"
323,"[1720656000000, 6.09654]"
324,"[1720742400000, 5.90822]"
325,"[1720828800000, 6.09692]"
326,"[1720915200000, 6.23905]"
327,"[1721001600000, 6.33134]"
328,"[1721088000000, 6.50447]"
329,"[1721174400000, 6.34584]"
330,"[1721260800000, 6.25841]"
331,"[1721347200000, 6.09101]"
332,"[1721433600000, 6.34238]"
333,"[1721520000000, 6.3382]"
334,"[1721606400000, 6.41973]"
335,"[1721692800000, 6.11195]"
