,prices
177,"[1707955200000, 0.53817]"
178,"[1708041600000, 0.56267]"
179,"[1708128000000, 0.56512]"
180,"[1708214400000, 0.54995]"
181,"[1708300800000, 0.557]"
182,"[1708387200000, 0.56236]"
183,"[1708473600000, 0.56329]"
184,"[1708560000000, 0.54948]"
185,"[1708646400000, 0.54119]"
186,"[1708732800000, 0.53486]"
187,"[1708819200000, 0.54478]"
188,"[1708905600000, 0.54261]"
189,"[1708992000000, 0.5513]"
190,"[1709078400000, 0.58738]"
191,"[1709164800000, 0.57653]"
192,"[1709251200000, 0.58729]"
193,"[1709337600000, 0.60162]"
194,"[1709424000000, 0.64358]"
195,"[1709510400000, 0.6267]"
196,"[1709596800000, 0.65118]"
197,"[1709683200000, 0.59528]"
198,"[1709769600000, 0.61292]"
199,"[1709856000000, 0.62838]"
200,"[1709942400000, 0.62148]"
201,"[1710028800000, 0.62251]"
202,"[1710115200000, 0.60856]"
203,"[1710201600000, 0.71705]"
204,"[1710288000000, 0.68869]"
205,"[1710374400000, 0.68965]"
206,"[1710460800000, 0.66918]"
207,"[1710547200000, 0.63426]"
208,"[1710633600000, 0.60231]"
209,"[1710720000000, 0.61915]"
210,"[1710806400000, 0.65391]"
211,"[1710892800000, 0.58524]"
212,"[1710979200000, 0.6117]"
213,"[1711065600000, 0.64133]"
214,"[1711152000000, 0.61057]"
215,"[1711238400000, 0.61812]"
216,"[1711324800000, 0.63371]"
217,"[1711411200000, 0.64004]"
218,"[1711497600000, 0.63287]"
219,"[1711584000000, 0.6123]"
220,"[1711670400000, 0.62408]"
221,"[1711756800000, 0.63058]"
222,"[1711843200000, 0.62101]"
223,"[1711929600000, 0.62896]"
224,"[1712016000000, 0.61215]"
225,"[1712102400000, 0.58524]"
226,"[1712188800000, 0.57539]"
227,"[1712275200000, 0.59346]"
228,"[1712361600000, 0.58806]"
229,"[1712448000000, 0.5934]"
230,"[1712534400000, 0.59467]"
231,"[1712620800000, 0.61554]"
232,"[1712707200000, 0.61369]"
233,"[1712793600000, 0.61737]"
234,"[1712880000000, 0.60885]"
235,"[1712966400000, 0.54846]"
236,"[1713052800000, 0.48087]"
237,"[1713139200000, 0.50514]"
238,"[1713225600000, 0.49746]"
239,"[1713312000000, 0.49643]"
240,"[1713398400000, 0.4948]"
241,"[1713484800000, 0.50263]"
242,"[1713571200000, 0.50434]"
243,"[1713657600000, 0.52865]"
244,"[1713744000000, 0.52427]"
245,"[1713830400000, 0.55608]"
246,"[1713916800000, 0.54534]"
247,"[1714003200000, 0.52715]"
248,"[1714089600000, 0.52543]"
249,"[1714176000000, 0.52594]"
250,"[1714262400000, 0.51854]"
251,"[1714348800000, 0.51001]"
252,"[1714435200000, 0.51487]"
253,"[1714521600000, 0.50018]"
254,"[1714608000000, 0.51602]"
255,"[1714694400000, 0.51838]"
256,"[1714780800000, 0.53153]"
257,"[1714867200000, 0.53001]"
258,"[1714953600000, 0.5295]"
259,"[1715040000000, 0.5404]"
260,"[1715126400000, 0.52469]"
261,"[1715212800000, 0.51782]"
262,"[1715299200000, 0.52111]"
263,"[1715385600000, 0.50223]"
264,"[1715472000000, 0.50547]"
265,"[1715558400000, 0.49964]"
266,"[1715644800000, 0.50453]"
267,"[1715731200000, 0.4997]"
268,"[1715817600000, 0.51859]"
269,"[1715904000000, 0.5158]"
270,"[1715990400000, 0.5242]"
271,"[1716076800000, 0.52081]"
272,"[1716163200000, 0.50969]"
273,"[1716249600000, 0.53726]"
274,"[1716336000000, 0.537]"
275,"[1716422400000, 0.52654]"
276,"[1716508800000, 0.52907]"
277,"[1716595200000, 0.53509]"
278,"[1716681600000, 0.54146]"
279,"[1716768000000, 0.52823]"
280,"[1716854400000, 0.534]"
281,"[1716940800000, 0.52809]"
282,"[1717027200000, 0.52302]"
283,"[1717113600000, 0.51893]"
284,"[1717200000000, 0.51802]"
285,"[1717286400000, 0.51804]"
286,"[1717372800000, 0.51312]"
287,"[1717459200000, 0.52006]"
288,"[1717545600000, 0.52588]"
289,"[1717632000000, 0.52627]"
290,"[1717718400000, 0.52167]"
291,"[1717804800000, 0.49886]"
292,"[1717891200000, 0.49317]"
293,"[1717977600000, 0.49855]"
294,"[1718064000000, 0.49673]"
295,"[1718150400000, 0.48025]"
296,"[1718236800000, 0.49142]"
297,"[1718323200000, 0.47652]"
298,"[1718409600000, 0.47411]"
299,"[1718496000000, 0.49063]"
300,"[1718582400000, 0.48859]"
301,"[1718668800000, 0.50443]"
302,"[1718755200000, 0.49069]"
303,"[1718841600000, 0.493]"
304,"[1718928000000, 0.48859]"
305,"[1719014400000, 0.48864]"
306,"[1719100800000, 0.48627]"
307,"[1719187200000, 0.47896]"
308,"[1719273600000, 0.47431]"
309,"[1719360000000, 0.47553]"
310,"[1719446400000, 0.46942]"
311,"[1719532800000, 0.47457]"
312,"[1719619200000, 0.47076]"
313,"[1719705600000, 0.47167]"
314,"[1719792000000, 0.47545]"
315,"[1719878400000, 0.47642]"
316,"[1719964800000, 0.48441]"
317,"[1720051200000, 0.46683]"
318,"[1720137600000, 0.43372]"
319,"[1720224000000, 0.42539]"
320,"[1720310400000, 0.44887]"
321,"[1720396800000, 0.41918]"
322,"[1720483200000, 0.43146]"
323,"[1720569600000, 0.43577]"
324,"[1720656000000, 0.43888]"
325,"[1720742400000, 0.44931]"
326,"[1720828800000, 0.475]"
327,"[1720915200000, 0.52684]"
328,"[1721001600000, 0.52343]"
329,"[1721088000000, 0.53766]"
330,"[1721174400000, 0.57876]"
331,"[1721260800000, 0.62739]"
332,"[1721347200000, 0.56923]"
333,"[1721433600000, 0.57416]"
334,"[1721520000000, 0.59503]"
335,"[1721606400000, 0.59802]"
336,"[1721692800000, 0.60743]"
337,"[1721779200000, 0.59819]"
338,"[1721865600000, 0.61855]"
339,"[1721952000000, 0.59977]"
340,"[1722038400000, 0.6038]"
341,"[1722124800000, 0.59777]"
342,"[1722211200000, 0.60218]"
343,"[1722297600000, 0.60135]"
344,"[1722384000000, 0.62733]"
345,"[1722470400000, 0.62414]"
346,"[1722556800000, 0.59649]"
347,"[1722643200000, 0.56082]"
348,"[1722729600000, 0.55612]"
349,"[1722816000000, 0.523]"
350,"[1722902400000, 0.49026]"
351,"[1722988800000, 0.50459]"
352,"[1723075200000, 0.60471]"
353,"[1723161600000, 0.61803]"
354,"[1723248000000, 0.58184]"
355,"[1723334400000, 0.58597]"
356,"[1723420800000, 0.55288]"
357,"[1723507200000, 0.56861]"
358,"[1723593600000, 0.57644]"
359,"[1723680000000, 0.56849]"
360,"[1723766400000, 0.56114]"
361,"[1723852800000, 0.56395]"
362,"[1723939200000, 0.56618]"
363,"[1724025600000, 0.56414]"
364,"[1724112000000, 0.59911]"
