,prices
177,"[1707955200000, 333.8537]"
178,"[1708041600000, 355.02746]"
179,"[1708128000000, 360.95788]"
180,"[1708214400000, 352.82915]"
181,"[1708300800000, 350.16901]"
182,"[1708387200000, 351.82141]"
183,"[1708473600000, 355.105]"
184,"[1708560000000, 378.9295]"
185,"[1708646400000, 382.1414]"
186,"[1708732800000, 375.42971]"
187,"[1708819200000, 381.92765]"
188,"[1708905600000, 388.56271]"
189,"[1708992000000, 401.21429]"
190,"[1709078400000, 395.05556]"
191,"[1709164800000, 416.25385]"
192,"[1709251200000, 399.7865]"
193,"[1709337600000, 407.34884]"
194,"[1709424000000, 410.83653]"
195,"[1709510400000, 414.19691]"
196,"[1709596800000, 420.00756]"
197,"[1709683200000, 396.65673]"
198,"[1709769600000, 428.80213]"
199,"[1709856000000, 473.46386]"
200,"[1709942400000, 485.30641]"
201,"[1710028800000, 490.13736]"
202,"[1710115200000, 528.9502]"
203,"[1710201600000, 522.84204]"
204,"[1710288000000, 539.40421]"
205,"[1710374400000, 628.45431]"
206,"[1710460800000, 603.26575]"
207,"[1710547200000, 621.6567]"
208,"[1710633600000, 575.43811]"
209,"[1710720000000, 572.02973]"
210,"[1710806400000, 554.20732]"
211,"[1710892800000, 507.01222]"
212,"[1710979200000, 556.5082]"
213,"[1711065600000, 553.72254]"
214,"[1711152000000, 549.86075]"
215,"[1711238400000, 554.16442]"
216,"[1711324800000, 568.74077]"
217,"[1711411200000, 586.4285]"
218,"[1711497600000, 580.85202]"
219,"[1711584000000, 575.54794]"
220,"[1711670400000, 583.29074]"
221,"[1711756800000, 616.58292]"
222,"[1711843200000, 601.20651]"
223,"[1711929600000, 606.62598]"
224,"[1712016000000, 577.95735]"
225,"[1712102400000, 550.8593]"
226,"[1712188800000, 563.59918]"
227,"[1712275200000, 585.57214]"
228,"[1712361600000, 580.06752]"
229,"[1712448000000, 585.39397]"
230,"[1712534400000, 584.29895]"
231,"[1712620800000, 587.45685]"
232,"[1712707200000, 581.1647]"
233,"[1712793600000, 609.12325]"
234,"[1712880000000, 605.50672]"
235,"[1712966400000, 596.65813]"
236,"[1713052800000, 557.27941]"
237,"[1713139200000, 567.90218]"
238,"[1713225600000, 553.30176]"
239,"[1713312000000, 536.83488]"
240,"[1713398400000, 535.01752]"
241,"[1713484800000, 551.58075]"
242,"[1713571200000, 556.76635]"
243,"[1713657600000, 570.61835]"
244,"[1713744000000, 578.89708]"
245,"[1713830400000, 605.25628]"
246,"[1713916800000, 606.99905]"
247,"[1714003200000, 607.55312]"
248,"[1714089600000, 614.40111]"
249,"[1714176000000, 597.88361]"
250,"[1714262400000, 596.39862]"
251,"[1714348800000, 599.57512]"
252,"[1714435200000, 593.24911]"
253,"[1714521600000, 578.18986]"
254,"[1714608000000, 562.22022]"
255,"[1714694400000, 560.70534]"
256,"[1714780800000, 586.43294]"
257,"[1714867200000, 585.70919]"
258,"[1714953600000, 591.56969]"
259,"[1715040000000, 587.99753]"
260,"[1715126400000, 577.82076]"
261,"[1715212800000, 588.60018]"
262,"[1715299200000, 596.3634]"
263,"[1715385600000, 585.63209]"
264,"[1715472000000, 591.53227]"
265,"[1715558400000, 594.04789]"
266,"[1715644800000, 591.44303]"
267,"[1715731200000, 566.65408]"
268,"[1715817600000, 582.27767]"
269,"[1715904000000, 569.18339]"
270,"[1715990400000, 581.35283]"
271,"[1716076800000, 579.67333]"
272,"[1716163200000, 574.23187]"
273,"[1716249600000, 600.77777]"
274,"[1716336000000, 618.81926]"
275,"[1716422400000, 614.71938]"
