,prices
177,"[1708041600000, 0.60792]"
178,"[1708128000000, 0.59861]"
179,"[1708214400000, 0.60841]"
180,"[1708300800000, 0.61914]"
181,"[1708387200000, 0.63113]"
182,"[1708473600000, 0.62238]"
183,"[1708560000000, 0.59897]"
184,"[1708646400000, 0.58703]"
185,"[1708732800000, 0.58425]"
186,"[1708819200000, 0.59634]"
187,"[1708905600000, 0.59196]"
188,"[1708992000000, 0.61855]"
189,"[1709078400000, 0.62417]"
190,"[1709164800000, 0.63141]"
191,"[1709251200000, 0.65644]"
192,"[1709337600000, 0.71496]"
193,"[1709424000000, 0.74178]"
194,"[1709510400000, 0.72765]"
195,"[1709596800000, 0.77227]"
196,"[1709683200000, 0.69721]"
197,"[1709769600000, 0.73363]"
198,"[1709856000000, 0.74445]"
199,"[1709942400000, 0.72474]"
200,"[1710028800000, 0.74497]"
201,"[1710115200000, 0.71606]"
202,"[1710201600000, 0.77498]"
203,"[1710288000000, 0.74819]"
204,"[1710374400000, 0.76393]"
205,"[1710460800000, 0.75055]"
206,"[1710547200000, 0.72701]"
207,"[1710633600000, 0.65824]"
208,"[1710720000000, 0.68177]"
209,"[1710806400000, 0.66233]"
210,"[1710892800000, 0.58602]"
211,"[1710979200000, 0.63914]"
212,"[1711065600000, 0.63278]"
213,"[1711152000000, 0.6123]"
214,"[1711238400000, 0.62621]"
215,"[1711324800000, 0.64602]"
216,"[1711411200000, 0.6562]"
217,"[1711497600000, 0.66538]"
218,"[1711584000000, 0.64816]"
219,"[1711670400000, 0.65018]"
220,"[1711756800000, 0.66424]"
221,"[1711843200000, 0.64449]"
222,"[1711929600000, 0.65045]"
223,"[1712016000000, 0.62224]"
224,"[1712102400000, 0.58037]"
225,"[1712188800000, 0.57175]"
226,"[1712275200000, 0.58247]"
227,"[1712361600000, 0.57569]"
228,"[1712448000000, 0.58376]"
229,"[1712534400000, 0.58891]"
230,"[1712620800000, 0.61395]"
231,"[1712707200000, 0.59222]"
232,"[1712793600000, 0.58572]"
233,"[1712880000000, 0.58618]"
234,"[1712966400000, 0.50453]"
235,"[1713052800000, 0.44903]"
236,"[1713139200000, 0.46873]"
237,"[1713225600000, 0.46031]"
238,"[1713312000000, 0.45836]"
239,"[1713398400000, 0.44459]"
240,"[1713484800000, 0.45783]"
241,"[1713571200000, 0.46992]"
242,"[1713657600000, 0.50478]"
243,"[1713744000000, 0.4991]"
244,"[1713830400000, 0.51637]"
245,"[1713916800000, 0.50044]"
246,"[1714003200000, 0.4749]"
247,"[1714089600000, 0.47058]"
248,"[1714176000000, 0.46243]"
249,"[1714262400000, 0.46781]"
250,"[1714348800000, 0.45994]"
251,"[1714435200000, 0.45708]"
252,"[1714521600000, 0.44095]"
253,"[1714608000000, 0.44955]"
254,"[1714694400000, 0.45815]"
255,"[1714780800000, 0.46711]"
256,"[1714867200000, 0.46308]"
257,"[1714953600000, 0.45806]"
258,"[1715040000000, 0.45417]"
259,"[1715126400000, 0.44172]"
260,"[1715212800000, 0.45337]"
261,"[1715299200000, 0.4637]"
262,"[1715385600000, 0.44844]"
263,"[1715472000000, 0.43857]"
264,"[1715558400000, 0.43778]"
265,"[1715644800000, 0.43622]"
266,"[1715731200000, 0.42789]"
267,"[1715817600000, 0.45286]"
268,"[1715904000000, 0.45958]"
269,"[1715990400000, 0.48174]"
270,"[1716076800000, 0.48205]"
271,"[1716163200000, 0.46745]"
272,"[1716249600000, 0.50172]"
273,"[1716336000000, 0.49472]"
274,"[1716422400000, 0.4832]"
275,"[1716508800000, 0.46534]"
276,"[1716595200000, 0.45963]"
277,"[1716681600000, 0.46198]"
278,"[1716768000000, 0.4583]"
279,"[1716854400000, 0.46796]"
280,"[1716940800000, 0.45683]"
281,"[1717027200000, 0.45074]"
282,"[1717113600000, 0.44634]"
283,"[1717200000000, 0.44754]"
284,"[1717286400000, 0.44987]"
285,"[1717372800000, 0.44638]"
286,"[1717459200000, 0.45681]"
287,"[1717545600000, 0.46142]"
288,"[1717632000000, 0.46168]"
289,"[1717718400000, 0.45815]"
290,"[1717804800000, 0.4495]"
291,"[1717891200000, 0.43671]"
292,"[1717977600000, 0.44422]"
293,"[1718064000000, 0.441]"
294,"[1718150400000, 0.42183]"
295,"[1718236800000, 0.43762]"
296,"[1718323200000, 0.42075]"
297,"[1718409600000, 0.41154]"
298,"[1718496000000, 0.41372]"
299,"[1718582400000, 0.41619]"
300,"[1718668800000, 0.40164]"
301,"[1718755200000, 0.38372]"
302,"[1718841600000, 0.38329]"
303,"[1718928000000, 0.38398]"
304,"[1719014400000, 0.37591]"
305,"[1719100800000, 0.38469]"
306,"[1719187200000, 0.37972]"
307,"[1719273600000, 0.37775]"
308,"[1719360000000, 0.39188]"
309,"[1719446400000, 0.38461]"
310,"[1719532800000, 0.39054]"
311,"[1719619200000, 0.38518]"
312,"[1719705600000, 0.38326]"
313,"[1719792000000, 0.39204]"
314,"[1719878400000, 0.40276]"
315,"[1719964800000, 0.41741]"
316,"[1720051200000, 0.40653]"
317,"[1720137600000, 0.36316]"
318,"[1720224000000, 0.34984]"
319,"[1720310400000, 0.37101]"
320,"[1720396800000, 0.34591]"
321,"[1720483200000, 0.36886]"
322,"[1720569600000, 0.37528]"
323,"[1720656000000, 0.38892]"
324,"[1720742400000, 0.39575]"
325,"[1720828800000, 0.41609]"
326,"[1720915200000, 0.44075]"
327,"[1721001600000, 0.43261]"
328,"[1721088000000, 0.44566]"
329,"[1721174400000, 0.43822]"
330,"[1721260800000, 0.43682]"
331,"[1721347200000, 0.42393]"
332,"[1721433600000, 0.43869]"
333,"[1721520000000, 0.43786]"
334,"[1721606400000, 0.44644]"
335,"[1721692800000, 0.4264]"
336,"[1721779200000, 0.41028]"
337,"[1721865600000, 0.40668]"
338,"[1721952000000, 0.39463]"
339,"[1722038400000, 0.41761]"
340,"[1722124800000, 0.41852]"
341,"[1722211200000, 0.40743]"
342,"[1722297600000, 0.40391]"
343,"[1722384000000, 0.40148]"
344,"[1722470400000, 0.38871]"
345,"[1722556800000, 0.39226]"
346,"[1722643200000, 0.36398]"
347,"[1722729600000, 0.364]"
348,"[1722816000000, 0.34344]"
349,"[1722902400000, 0.31409]"
350,"[1722988800000, 0.33026]"
351,"[1723075200000, 0.32378]"
352,"[1723161600000, 0.352]"
353,"[1723248000000, 0.34804]"
354,"[1723334400000, 0.34575]"
355,"[1723420800000, 0.32814]"
356,"[1723507200000, 0.33887]"
357,"[1723593600000, 0.34032]"
358,"[1723680000000, 0.33525]"
359,"[1723766400000, 0.32539]"
360,"[1723852800000, 0.32987]"
361,"[1723939200000, 0.33676]"
362,"[1724025600000, 0.33423]"
363,"[1724112000000, 0.33691]"
364,"[1724198400000, 0.34356]"
