,prices
177,"[1707955200000, 280.79984]"
178,"[1708041600000, 270.60879]"
179,"[1708128000000, 274.88019]"
180,"[1708214400000, 267.40049]"
181,"[1708300800000, 270.43837]"
182,"[1708387200000, 272.87818]"
183,"[1708473600000, 265.72315]"
184,"[1708560000000, 263.4072]"
185,"[1708646400000, 260.27612]"
186,"[1708732800000, 264.68323]"
187,"[1708819200000, 267.37859]"
188,"[1708905600000, 267.81997]"
189,"[1708992000000, 274.69912]"
190,"[1709078400000, 292.40671]"
191,"[1709164800000, 297.23104]"
192,"[1709251200000, 298.25714]"
193,"[1709337600000, 315.45072]"
194,"[1709424000000, 501.74912]"
195,"[1709510400000, 469.21743]"
196,"[1709596800000, 468.52045]"
197,"[1709683200000, 403.50455]"
198,"[1709769600000, 415.53666]"
199,"[1709856000000, 431.64328]"
200,"[1709942400000, 436.52443]"
201,"[1710028800000, 433.97221]"
202,"[1710115200000, 423.41746]"
203,"[1710201600000, 449.09994]"
204,"[1710288000000, 433.46585]"
205,"[1710374400000, 442.3678]"
206,"[1710460800000, 440.61651]"
207,"[1710547200000, 416.59178]"
208,"[1710633600000, 388.01385]"
209,"[1710720000000, 402.27215]"
210,"[1710806400000, 402.41005]"
211,"[1710892800000, 359.14862]"
212,"[1710979200000, 409.07877]"
213,"[1711065600000, 414.15666]"
214,"[1711152000000, 426.69129]"
215,"[1711238400000, 457.14015]"
216,"[1711324800000, 483.1275]"
217,"[1711411200000, 488.03828]"
218,"[1711497600000, 480.61714]"
219,"[1711584000000, 541.64148]"
220,"[1711670400000, 568.61254]"
221,"[1711756800000, 621.97142]"
222,"[1711843200000, 597.27222]"
223,"[1711929600000, 680.34446]"
224,"[1712016000000, 650.70074]"
225,"[1712102400000, 638.88037]"
226,"[1712188800000, 595.53593]"
227,"[1712275200000, 667.32514]"
228,"[1712361600000, 659.18061]"
229,"[1712448000000, 695.33626]"
230,"[1712534400000, 684.17852]"
231,"[1712620800000, 680.32576]"
232,"[1712707200000, 673.52434]"
233,"[1712793600000, 628.66634]"
234,"[1712880000000, 614.36575]"
235,"[1712966400000, 534.58385]"
236,"[1713052800000, 482.77879]"
237,"[1713139200000, 528.79057]"
238,"[1713225600000, 507.80533]"
239,"[1713312000000, 487.24521]"
240,"[1713398400000, 464.63049]"
241,"[1713484800000, 482.95441]"
242,"[1713571200000, 478.37149]"
243,"[1713657600000, 514.91943]"
244,"[1713744000000, 502.39119]"
245,"[1713830400000, 522.18399]"
246,"[1713916800000, 505.61247]"
247,"[1714003200000, 479.08373]"
