,prices
177,"[1708128000000, 2.15496]"
178,"[1708214400000, 2.23586]"
179,"[1708300800000, 2.27444]"
180,"[1708387200000, 2.26794]"
181,"[1708473600000, 2.21419]"
182,"[1708560000000, 2.11869]"
183,"[1708646400000, 2.08809]"
184,"[1708732800000, 2.08099]"
185,"[1708819200000, 2.11036]"
186,"[1708905600000, 2.0832]"
187,"[1708992000000, 2.14213]"
188,"[1709078400000, 2.15785]"
189,"[1709164800000, 2.53682]"
190,"[1709251200000, 2.4841]"
191,"[1709337600000, 2.71029]"
192,"[1709424000000, 2.72163]"
193,"[1709510400000, 2.67678]"
194,"[1709596800000, 2.74169]"
195,"[1709683200000, 2.59796]"
196,"[1709769600000, 2.68548]"
197,"[1709856000000, 2.75474]"
198,"[1709942400000, 2.84108]"
199,"[1710028800000, 2.87323]"
200,"[1710115200000, 2.81554]"
201,"[1710201600000, 3.31582]"
202,"[1710288000000, 4.0765]"
203,"[1710374400000, 4.31409]"
204,"[1710460800000, 4.0286]"
205,"[1710547200000, 3.90078]"
206,"[1710633600000, 3.52288]"
207,"[1710720000000, 3.86995]"
208,"[1710806400000, 3.83325]"
209,"[1710892800000, 3.80335]"
210,"[1710979200000, 4.23058]"
211,"[1711065600000, 4.06599]"
212,"[1711152000000, 4.4492]"
213,"[1711238400000, 4.83698]"
214,"[1711324800000, 4.96377]"
215,"[1711411200000, 5.35529]"
216,"[1711497600000, 5.03799]"
217,"[1711584000000, 4.97029]"
218,"[1711670400000, 4.90899]"
219,"[1711756800000, 5.02039]"
220,"[1711843200000, 5.25861]"
221,"[1711929600000, 5.41116]"
222,"[1712016000000, 5.3532]"
223,"[1712102400000, 4.8607]"
224,"[1712188800000, 4.96935]"
225,"[1712275200000, 5.09229]"
226,"[1712361600000, 5.34346]"
227,"[1712448000000, 5.47798]"
228,"[1712534400000, 5.36954]"
229,"[1712620800000, 6.36335]"
230,"[1712707200000, 6.68389]"
231,"[1712793600000, 6.77047]"
232,"[1712880000000, 7.26694]"
233,"[1712966400000, 6.69042]"
234,"[1713052800000, 5.98065]"
235,"[1713139200000, 6.7481]"
236,"[1713225600000, 6.55226]"
237,"[1713312000000, 6.33631]"
238,"[1713398400000, 6.07771]"
239,"[1713484800000, 6.51311]"
240,"[1713571200000, 6.10204]"
241,"[1713657600000, 6.1971]"
242,"[1713744000000, 6.14349]"
243,"[1713830400000, 5.94182]"
244,"[1713916800000, 5.69902]"
245,"[1714003200000, 5.54389]"
246,"[1714089600000, 5.40635]"
247,"[1714176000000, 5.33596]"
248,"[1714262400000, 5.40573]"
249,"[1714348800000, 5.40012]"
250,"[1714435200000, 5.30596]"
251,"[1714521600000, 5.16177]"
252,"[1714608000000, 4.88794]"
253,"[1714694400000, 5.14918]"
254,"[1714780800000, 5.68151]"
255,"[1714867200000, 5.74105]"
256,"[1714953600000, 5.9657]"
257,"[1715040000000, 5.78031]"
258,"[1715126400000, 5.69946]"
259,"[1715212800000, 5.76793]"
260,"[1715299200000, 6.3746]"
261,"[1715385600000, 6.77969]"
262,"[1715472000000, 6.88876]"
263,"[1715558400000, 6.94901]"
264,"[1715644800000, 7.02595]"
265,"[1715731200000, 6.85061]"
266,"[1715817600000, 7.00333]"
267,"[1715904000000, 6.76173]"
268,"[1715990400000, 6.61263]"
269,"[1716076800000, 6.39759]"
270,"[1716163200000, 6.26397]"
271,"[1716249600000, 6.55263]"
272,"[1716336000000, 6.33333]"
273,"[1716422400000, 6.53793]"
274,"[1716508800000, 6.21031]"
275,"[1716595200000, 6.39643]"
276,"[1716681600000, 6.37553]"
277,"[1716768000000, 6.3152]"
278,"[1716854400000, 6.38675]"
279,"[1716940800000, 6.46698]"
280,"[1717027200000, 6.49497]"
281,"[1717113600000, 6.47392]"
282,"[1717200000000, 6.35933]"
283,"[1717286400000, 6.29777]"
284,"[1717372800000, 6.81106]"
285,"[1717459200000, 6.80583]"
286,"[1717545600000, 7.28097]"
287,"[1717632000000, 7.20692]"
288,"[1717718400000, 7.53157]"
289,"[1717804800000, 7.20815]"
290,"[1717891200000, 7.01495]"
291,"[1717977600000, 7.11156]"
