,prices
168,"[1707264000000, 43004.70224]"
169,"[1707350400000, 44144.36919]"
170,"[1707436800000, 45156.6127]"
171,"[1707523200000, 47030.96788]"
172,"[1707609600000, 47743.45917]"
173,"[1707696000000, 48079.10581]"
174,"[1707782400000, 49960.46462]"
175,"[1707868800000, 49673.70401]"
176,"[1707955200000, 51716.4647]"
177,"[1708041600000, 51884.03014]"
178,"[1708128000000, 52141.40671]"
179,"[1708214400000, 51721.21891]"
180,"[1708300800000, 52065.72683]"
181,"[1708387200000, 51815.53625]"
182,"[1708473600000, 52314.72424]"
183,"[1708560000000, 51814.28474]"
184,"[1708646400000, 51224.16443]"
185,"[1708732800000, 50838.15013]"
186,"[1708819200000, 51614.51188]"
187,"[1708905600000, 51844.48995]"
188,"[1708992000000, 54474.89523]"
189,"[1709078400000, 56902.95532]"
190,"[1709164800000, 62389.69455]"
191,"[1709251200000, 61278.45906]"
192,"[1709337600000, 62416.95302]"
193,"[1709424000000, 62073.957]"
194,"[1709510400000, 62902.68747]"
195,"[1709596800000, 67966.70374]"
196,"[1709683200000, 64536.61228]"
197,"[1709769600000, 66427.08212]"
198,"[1709856000000, 67331.01771]"
199,"[1709942400000, 68258.21064]"
200,"[1710028800000, 68344.94615]"
201,"[1710115200000, 68916.62816]"
202,"[1710201600000, 72173.05856]"
203,"[1710288000000, 71211.83611]"
204,"[1710374400000, 72806.20329]"
205,"[1710460800000, 71144.59492]"
206,"[1710547200000, 69077.18216]"
207,"[1710633600000, 65094.08063]"
208,"[1710720000000, 68262.96286]"
209,"[1710806400000, 67448.04526]"
210,"[1710892800000, 61784.00065]"
211,"[1710979200000, 67655.68281]"
212,"[1711065600000, 65444.83711]"
213,"[1711152000000, 63413.35387]"
214,"[1711238400000, 64404.11691]"
215,"[1711324800000, 67144.64679]"
216,"[1711411200000, 69965.05733]"
217,"[1711497600000, 69950.9035]"
218,"[1711584000000, 69379.05322]"
219,"[1711670400000, 70825.70306]"
220,"[1711756800000, 69862.62687]"
221,"[1711843200000, 69714.67204]"
222,"[1711929600000, 71251.47528]"
223,"[1712016000000, 69713.35329]"
224,"[1712102400000, 65434.79757]"
225,"[1712188800000, 66152.96652]"
226,"[1712275200000, 68471.71807]"
227,"[1712361600000, 67942.5721]"
228,"[1712448000000, 68967.84303]"
229,"[1712534400000, 69489.86991]"
230,"[1712620800000, 71671.74571]"
231,"[1712707200000, 69154.17564]"
232,"[1712793600000, 70507.63058]"
233,"[1712880000000, 70133.81435]"
234,"[1712966400000, 67236.38624]"
235,"[1713052800000, 64312.08448]"
236,"[1713139200000, 65660.38416]"
237,"[1713225600000, 63468.04289]"
238,"[1713312000000, 63708.93982]"
239,"[1713398400000, 61308.63325]"
240,"[1713484800000, 62855.84201]"
241,"[1713571200000, 63978.8499]"
242,"[1713657600000, 64890.52588]"
243,"[1713744000000, 65004.24862]"
244,"[1713830400000, 66837.32534]"
245,"[1713916800000, 66509.83564]"
246,"[1714003200000, 64265.27436]"
247,"[1714089600000, 64483.3025]"
248,"[1714176000000, 63758.12411]"
249,"[1714262400000, 63494.39749]"
250,"[1714348800000, 63055.52015]"
251,"[1714435200000, 63853.66241]"
252,"[1714521600000, 60602.61345]"
253,"[1714608000000, 58092.77991]"
254,"[1714694400000, 59219.2864]"
255,"[1714780800000, 62883.30393]"
256,"[1714867200000, 63793.78098]"
257,"[1714953600000, 64147.2046]"
258,"[1715040000000, 63133.09266]"
259,"[1715126400000, 62324.13174]"
260,"[1715212800000, 61157.22454]"
261,"[1715299200000, 62997.56656]"
262,"[1715385600000, 60907.66504]"
263,"[1715472000000, 60834.92688]"
264,"[1715558400000, 61454.05692]"
265,"[1715644800000, 62819.77977]"
266,"[1715731200000, 61568.82102]"
267,"[1715817600000, 66288.7042]"
268,"[1715904000000, 65261.06536]"
269,"[1715990400000, 66962.53894]"
270,"[1716076800000, 66987.49573]"
271,"[1716163200000, 66370.9798]"
272,"[1716249600000, 71256.00783]"
273,"[1716336000000, 70280.30954]"
274,"[1716422400000, 69369.77614]"
275,"[1716508800000, 68083.73788]"
276,"[1716595200000, 68644.16383]"
277,"[1716681600000, 69272.38711]"
278,"[1716768000000, 68543.63466]"
279,"[1716854400000, 69338.85848]"
280,"[1716940800000, 68357.3421]"
281,"[1717027200000, 67573.65606]"
282,"[1717113600000, 68349.4609]"
283,"[1717200000000, 67471.38909]"
284,"[1717286400000, 67670.77875]"
285,"[1717372800000, 67776.68888]"
286,"[1717459200000, 68886.07581]"
287,"[1717545600000, 70553.12193]"
288,"[1717632000000, 71079.83021]"
289,"[1717718400000, 70907.52349]"
290,"[1717804800000, 69247.92741]"
291,"[1717891200000, 69287.26618]"
292,"[1717977600000, 69700.97928]"
293,"[1718064000000, 69493.33603]"
294,"[1718150400000, 67349.56882]"
295,"[1718236800000, 68270.10232]"
296,"[1718323200000, 66761.25455]"
297,"[1718409600000, 66013.59375]"
298,"[1718496000000, 66367.38015]"
299,"[1718582400000, 66710.75921]"
300,"[1718668800000, 66499.30919]"
301,"[1718755200000, 65126.20558]"
302,"[1718841600000, 65111.62334]"
303,"[1718928000000, 64860.2458]"
304,"[1719014400000, 64056.15044]"
305,"[1719100800000, 64178.54707]"
306,"[1719187200000, 63245.4196]"
307,"[1719273600000, 60531.66344]"
308,"[1719360000000, 61845.38407]"
309,"[1719446400000, 60892.03166]"
310,"[1719532800000, 61670.20354]"
311,"[1719619200000, 60372.72971]"
312,"[1719705600000, 60888.32915]"
313,"[1719792000000, 62723.04507]"
314,"[1719878400000, 62833.49961]"
315,"[1719964800000, 61956.42474]"
316,"[1720051200000, 60179.11835]"
317,"[1720137600000, 57272.20084]"
318,"[1720224000000, 56752.51168]"
319,"[1720310400000, 58255.00788]"
320,"[1720396800000, 55912.56933]"
321,"[1720483200000, 56710.56443]"
322,"[1720569600000, 57993.48889]"
323,"[1720656000000, 57799.13809]"
324,"[1720742400000, 57451.82278]"
325,"[1720828800000, 57933.3151]"
326,"[1720915200000, 59246.14338]"
327,"[1721001600000, 60995.75608]"
328,"[1721088000000, 64800.42556]"
329,"[1721174400000, 65109.7259]"
330,"[1721260800000, 64207.65284]"
331,"[1721347200000, 64032.83699]"
332,"[1721433600000, 66659.02409]"
333,"[1721520000000, 67127.08178]"
334,"[1721606400000, 68033.51097]"
335,"[1721692800000, 67597.75469]"
336,"[1721779200000, 65912.36933]"
337,"[1721865600000, 65344.37617]"
338,"[1721952000000, 65696.7821]"
339,"[1722038400000, 67924.06003]"
340,"[1722124800000, 68015.49303]"
341,"[1722211200000, 68161.44098]"
342,"[1722297600000, 66914.43088]"
343,"[1722384000000, 66167.83141]"
344,"[1722470400000, 64754.02141]"
345,"[1722556800000, 65307.39904]"
346,"[1722643200000, 61480.43527]"
347,"[1722729600000, 60775.61743]"
348,"[1722816000000, 58172.76878]"
349,"[1722902400000, 54091.55035]"
350,"[1722988800000, 56040.39477]"
351,"[1723075200000, 55058.32555]"
352,"[1723161600000, 61885.58202]"
353,"[1723248000000, 60857.51079]"
354,"[1723334400000, 60854.25859]"
355,"[1723420800000, 58802.00263]"
356,"[1723507200000, 59301.31467]"
357,"[1723593600000, 60564.43003]"
358,"[1723680000000, 58806.9695]"
359,"[1723766400000, 57585.07376]"
360,"[1723852800000, 58784.2685]"
361,"[1723939200000, 59336.36034]"
362,"[1724025600000, 58422.12704]"
363,"[1724112000000, 59465.09127]"
364,"[1724198400000, 59086.03704]"
