,prices
168,"[1707264000000, 43087.78741]"
169,"[1707350400000, 44247.41542]"
170,"[1707436800000, 45338.27119]"
171,"[1707523200000, 47143.24299]"
172,"[1707609600000, 47768.99525]"
173,"[1707696000000, 48189.88179]"
174,"[1707782400000, 50050.13609]"
175,"[1707868800000, 49732.14537]"
176,"[1707955200000, 51790.1693]"
177,"[1708041600000, 51958.23029]"
178,"[1708128000000, 52166.43431]"
179,"[1708214400000, 51684.51749]"
180,"[1708300800000, 52138.48579]"
181,"[1708387200000, 51764.31319]"
182,"[1708473600000, 52286.79373]"
183,"[1708560000000, 51842.75677]"
184,"[1708646400000, 51319.50013]"
185,"[1708732800000, 50841.08109]"
186,"[1708819200000, 51553.09671]"
187,"[1708905600000, 51751.88405]"
188,"[1708992000000, 54478.19108]"
189,"[1709078400000, 57003.52674]"
190,"[1709164800000, 62558.58202]"
191,"[1709251200000, 61298.21686]"
192,"[1709337600000, 62426.64053]"
193,"[1709424000000, 62067.8668]"
194,"[1709510400000, 63053.10544]"
195,"[1709596800000, 68186.64593]"
196,"[1709683200000, 64291.53656]"
197,"[1709769600000, 66145.91928]"
198,"[1709856000000, 66944.87639]"
199,"[1709942400000, 68315.25192]"
200,"[1710028800000, 68508.00396]"
201,"[1710115200000, 69075.66688]"
202,"[1710201600000, 72130.55301]"
203,"[1710288000000, 71467.1735]"
204,"[1710374400000, 73097.76703]"
205,"[1710460800000, 71420.0318]"
206,"[1710547200000, 69497.76319]"
207,"[1710633600000, 65292.31329]"
208,"[1710720000000, 68425.41566]"
209,"[1710806400000, 67708.94361]"
210,"[1710892800000, 62132.51738]"
211,"[1710979200000, 67819.05571]"
212,"[1711065600000, 65535.97845]"
213,"[1711152000000, 63509.04497]"
214,"[1711238400000, 64285.80279]"
215,"[1711324800000, 67310.98327]"
216,"[1711411200000, 69938.9453]"
217,"[1711497600000, 70082.05122]"
218,"[1711584000000, 69435.7504]"
219,"[1711670400000, 70710.19535]"
220,"[1711756800000, 69919.05546]"
221,"[1711843200000, 69702.30875]"
222,"[1711929600000, 71246.95144]"
223,"[1712016000000, 69785.92504]"
224,"[1712102400000, 65440.41923]"
225,"[1712188800000, 66123.93854]"
226,"[1712275200000, 68542.17715]"
227,"[1712361600000, 67978.61023]"
228,"[1712448000000, 69000.64992]"
229,"[1712534400000, 69401.97361]"
230,"[1712620800000, 71624.18486]"
231,"[1712707200000, 69158.64381]"
232,"[1712793600000, 70527.88998]"
233,"[1712880000000, 70106.66413]"
234,"[1712966400000, 67252.10504]"
235,"[1713052800000, 64404.82549]"
236,"[1713139200000, 65752.66005]"
237,"[1713225600000, 63430.57146]"
238,"[1713312000000, 63720.50159]"
239,"[1713398400000, 61328.89799]"
240,"[1713484800000, 63461.5927]"
241,"[1713571200000, 63988.81847]"
242,"[1713657600000, 64894.41869]"
243,"[1713744000000, 64936.42076]"
244,"[1713830400000, 66841.66685]"
245,"[1713916800000, 66406.95244]"
246,"[1714003200000, 64279.51813]"
247,"[1714089600000, 64486.18336]"
248,"[1714176000000, 63802.33005]"
249,"[1714262400000, 63517.24874]"
250,"[1714348800000, 63030.43362]"
251,"[1714435200000, 63797.67964]"
252,"[1714521600000, 60749.47209]"
253,"[1714608000000, 58297.57408]"
254,"[1714694400000, 59135.17336]"
255,"[1714780800000, 62839.34074]"
256,"[1714867200000, 63820.4519]"
257,"[1714953600000, 64010.00865]"
258,"[1715040000000, 63172.4813]"
259,"[1715126400000, 62363.05719]"
