,prices
168,"[1707177600000, 2299.1467]"
169,"[1707264000000, 2373.7901]"
170,"[1707350400000, 2423.29639]"
171,"[1707436800000, 2430.7839]"
172,"[1707523200000, 2493.73848]"
173,"[1707609600000, 2505.15697]"
174,"[1707696000000, 2493.51062]"
175,"[1707782400000, 2652.22215]"
176,"[1707868800000, 2634.4133]"
177,"[1707955200000, 2763.24273]"
178,"[1708041600000, 2821.39461]"
179,"[1708128000000, 2791.74602]"
180,"[1708214400000, 2781.7603]"
181,"[1708300800000, 2874.94082]"
182,"[1708387200000, 2954.09395]"
183,"[1708473600000, 3010.95754]"
184,"[1708560000000, 2932.22234]"
185,"[1708646400000, 2983.11825]"
186,"[1708732800000, 2944.81216]"
187,"[1708819200000, 2976.75648]"
188,"[1708905600000, 3108.51787]"
189,"[1708992000000, 3173.47095]"
190,"[1709078400000, 3245.96438]"
191,"[1709164800000, 3373.1271]"
192,"[1709251200000, 3338.65509]"
193,"[1709337600000, 3426.21899]"
194,"[1709424000000, 3401.20581]"
195,"[1709510400000, 3481.3267]"
196,"[1709596800000, 3606.25408]"
197,"[1709683200000, 3573.15276]"
198,"[1709769600000, 3855.20067]"
199,"[1709856000000, 3840.2993]"
200,"[1709942400000, 3892.92983]"
201,"[1710028800000, 3916.254]"
202,"[1710115200000, 3885.68441]"
203,"[1710201600000, 4069.2285]"
204,"[1710288000000, 3971.75465]"
205,"[1710374400000, 4001.88184]"
206,"[1710460800000, 3877.54889]"
207,"[1710547200000, 3733.40628]"
208,"[1710633600000, 3516.93263]"
209,"[1710720000000, 3654.14841]"
210,"[1710806400000, 3524.49636]"
211,"[1710892800000, 3164.71758]"
212,"[1710979200000, 3514.72758]"
213,"[1711065600000, 3488.72025]"
214,"[1711152000000, 3324.13111]"
215,"[1711238400000, 3354.27169]"
216,"[1711324800000, 3452.14522]"
217,"[1711411200000, 3590.6141]"
218,"[1711497600000, 3584.62878]"
219,"[1711584000000, 3504.96335]"
220,"[1711670400000, 3559.02409]"
221,"[1711756800000, 3512.2938]"
222,"[1711843200000, 3507.66564]"
223,"[1711929600000, 3642.66378]"
224,"[1712016000000, 3506.83819]"
225,"[1712102400000, 3274.31524]"
226,"[1712188800000, 3315.0676]"
227,"[1712275200000, 3327.89235]"
228,"[1712361600000, 3323.8553]"
229,"[1712448000000, 3359.40191]"
230,"[1712534400000, 3451.89167]"
231,"[1712620800000, 3691.23442]"
232,"[1712707200000, 3503.76267]"
233,"[1712793600000, 3538.89469]"
234,"[1712880000000, 3506.51251]"
235,"[1712966400000, 3245.67465]"
236,"[1713052800000, 3018.56091]"
237,"[1713139200000, 3158.5066]"
238,"[1713225600000, 3105.009]"
239,"[1713312000000, 3083.57456]"
240,"[1713398400000, 2983.39073]"
241,"[1713484800000, 3068.56171]"
242,"[1713571200000, 3065.47655]"
243,"[1713657600000, 3155.48994]"
244,"[1713744000000, 3148.55843]"
245,"[1713830400000, 3198.14818]"
246,"[1713916800000, 3217.1817]"
247,"[1714003200000, 3136.77394]"
248,"[1714089600000, 3158.15714]"
249,"[1714176000000, 3128.72422]"
250,"[1714262400000, 3257.23873]"
251,"[1714348800000, 3261.62501]"
252,"[1714435200000, 3214.51427]"
253,"[1714521600000, 3015.05562]"
254,"[1714608000000, 2965.83504]"
255,"[1714694400000, 2988.1044]"
256,"[1714780800000, 3103.4625]"
257,"[1714867200000, 3117.35246]"
258,"[1714953600000, 3137.47011]"
259,"[1715040000000, 3067.53384]"
260,"[1715126400000, 3014.62183]"
261,"[1715212800000, 2976.29307]"
262,"[1715299200000, 3038.46495]"
263,"[1715385600000, 2911.23235]"
264,"[1715472000000, 2910.47767]"
265,"[1715558400000, 2932.66795]"
266,"[1715644800000, 2947.86559]"
267,"[1715731200000, 2881.87988]"
268,"[1715817600000, 3029.90313]"
269,"[1715904000000, 2941.76447]"
270,"[1715990400000, 3093.68734]"
271,"[1716076800000, 3120.73233]"
272,"[1716163200000, 3074.08659]"
273,"[1716249600000, 3655.27702]"
274,"[1716336000000, 3794.94058]"
275,"[1716422400000, 3746.67463]"
276,"[1716508800000, 3766.6757]"
277,"[1716595200000, 3727.27965]"
278,"[1716681600000, 3746.05975]"
279,"[1716768000000, 3825.52792]"
280,"[1716854400000, 3893.37253]"
281,"[1716940800000, 3841.77969]"
282,"[1717027200000, 3764.60217]"
283,"[1717113600000, 3747.69665]"
284,"[1717200000000, 3763.27551]"
285,"[1717286400000, 3812.49762]"
286,"[1717372800000, 3781.63275]"
287,"[1717459200000, 3766.37997]"
288,"[1717545600000, 3814.51134]"
289,"[1717632000000, 3869.27121]"
290,"[1717718400000, 3814.52272]"
291,"[1717804800000, 3679.62944]"
292,"[1717891200000, 3684.83095]"
293,"[1717977600000, 3707.99497]"
294,"[1718064000000, 3676.36945]"
295,"[1718150400000, 3492.45664]"
296,"[1718236800000, 3576.69804]"
297,"[1718323200000, 3467.31393]"
298,"[1718409600000, 3479.7036]"
299,"[1718496000000, 3566.68883]"
300,"[1718582400000, 3617.90435]"
301,"[1718668800000, 3510.31234]"
302,"[1718755200000, 3478.40762]"
303,"[1718841600000, 3559.17193]"
304,"[1718928000000, 3512.28846]"
305,"[1719014400000, 3517.2579]"
306,"[1719100800000, 3495.14015]"
307,"[1719187200000, 3417.5406]"
308,"[1719273600000, 3356.76427]"
309,"[1719360000000, 3394.86117]"
310,"[1719446400000, 3359.47489]"
311,"[1719532800000, 3443.4763]"
312,"[1719619200000, 3373.52022]"
313,"[1719705600000, 3372.07505]"
314,"[1719792000000, 3437.51464]"
315,"[1719878400000, 3439.23369]"
316,"[1719964800000, 3418.48538]"
317,"[1720051200000, 3296.06402]"
318,"[1720137600000, 3072.77778]"
319,"[1720224000000, 2983.71101]"
320,"[1720310400000, 3067.00735]"
321,"[1720396800000, 2929.91483]"
322,"[1720483200000, 3018.87008]"
323,"[1720569600000, 3064.51874]"
324,"[1720656000000, 3100.63747]"
325,"[1720742400000, 3102.49936]"
326,"[1720828800000, 3131.35107]"
327,"[1720915200000, 3177.53794]"
328,"[1721001600000, 3254.04755]"
329,"[1721088000000, 3486.68831]"
330,"[1721174400000, 3449.9301]"
331,"[1721260800000, 3391.72077]"
332,"[1721347200000, 3430.14324]"
333,"[1721433600000, 3504.57129]"
334,"[1721520000000, 3520.3274]"
335,"[1721606400000, 3530.72305]"
336,"[1721692800000, 3444.4726]"
337,"[1721779200000, 3481.34019]"
338,"[1721865600000, 3334.62385]"
339,"[1721952000000, 3176.66747]"
340,"[1722038400000, 3279.26472]"
341,"[1722124800000, 3254.16543]"
342,"[1722211200000, 3272.86444]"
343,"[1722297600000, 3314.27804]"
344,"[1722384000000, 3276.90291]"
345,"[1722470400000, 3230.97473]"
346,"[1722556800000, 3203.34166]"
347,"[1722643200000, 2982.33344]"
348,"[1722729600000, 2906.64783]"
349,"[1722816000000, 2685.50326]"
350,"[1722902400000, 2414.64143]"
351,"[1722988800000, 2454.72372]"
352,"[1723075200000, 2341.92018]"
353,"[1723161600000, 2680.88996]"
354,"[1723248000000, 2596.79719]"
355,"[1723334400000, 2608.15722]"
356,"[1723420800000, 2558.70471]"
357,"[1723507200000, 2726.81775]"
358,"[1723593600000, 2701.56958]"
359,"[1723680000000, 2664.20012]"
360,"[1723766400000, 2570.93145]"
361,"[1723852800000, 2594.27476]"
362,"[1723939200000, 2612.61256]"
363,"[1724025600000, 2615.92237]"
364,"[1724112000000, 2640.28052]"
