,prices
168,"[1707350400000, 2804.23083]"
169,"[1707436800000, 2798.96807]"
170,"[1707523200000, 2877.47542]"
171,"[1707609600000, 2891.39048]"
172,"[1707696000000, 2898.89529]"
173,"[1707782400000, 3049.4019]"
174,"[1707868800000, 3039.67496]"
175,"[1707955200000, 3214.70965]"
176,"[1708041600000, 3264.59814]"
177,"[1708128000000, 3245.73464]"
178,"[1708214400000, 3220.54337]"
179,"[1708300800000, 3326.49595]"
180,"[1708387200000, 3414.86812]"
181,"[1708473600000, 3483.20371]"
182,"[1708560000000, 3406.30332]"
183,"[1708646400000, 3451.80748]"
184,"[1708732800000, 3380.7892]"
185,"[1708819200000, 3444.97174]"
186,"[1708905600000, 3597.84275]"
187,"[1708992000000, 3675.37755]"
188,"[1709078400000, 3756.18996]"
189,"[1709164800000, 3900.1076]"
190,"[1709251200000, 3863.13316]"
191,"[1709337600000, 3968.95456]"
192,"[1709424000000, 3943.3845]"
193,"[1709510400000, 4034.38721]"
194,"[1709596800000, 4188.70721]"
195,"[1709683200000, 4117.42434]"
196,"[1709769600000, 4458.11041]"
197,"[1709856000000, 4454.82368]"
198,"[1709942400000, 4509.14025]"
199,"[1710028800000, 4508.75873]"
200,"[1710115200000, 4475.8237]"
201,"[1710201600000, 4707.9761]"
202,"[1710288000000, 4585.95323]"
203,"[1710374400000, 4609.60254]"
204,"[1710460800000, 4474.50685]"
205,"[1710547200000, 4328.88142]"
206,"[1710633600000, 4058.98735]"
207,"[1710720000000, 4228.28291]"
208,"[1710806400000, 4091.47087]"
209,"[1710892800000, 3660.22113]"
210,"[1710979200000, 4070.50529]"
211,"[1711065600000, 4046.72011]"
212,"[1711152000000, 3848.09791]"
213,"[1711238400000, 3902.03838]"
214,"[1711324800000, 3999.54397]"
215,"[1711411200000, 4171.41989]"
216,"[1711497600000, 4161.43161]"
217,"[1711584000000, 4075.88852]"
218,"[1711670400000, 4125.97709]"
219,"[1711756800000, 4069.37329]"
220,"[1711843200000, 4064.71755]"
221,"[1711929600000, 4208.44199]"
222,"[1712016000000, 4057.13391]"
223,"[1712102400000, 3798.52564]"
224,"[1712188800000, 3839.11179]"
225,"[1712275200000, 3853.73872]"
226,"[1712361600000, 3853.43219]"
227,"[1712448000000, 3902.64545]"
228,"[1712534400000, 3999.16092]"
229,"[1712620800000, 4286.95841]"
230,"[1712707200000, 4061.54015]"
231,"[1712793600000, 4110.57927]"
232,"[1712880000000, 4070.40733]"
233,"[1712966400000, 3754.68479]"
234,"[1713052800000, 3496.60692]"
235,"[1713139200000, 3668.74167]"
236,"[1713225600000, 3600.47257]"
237,"[1713312000000, 3577.44112]"
238,"[1713398400000, 3465.7122]"
239,"[1713484800000, 3571.84367]"
240,"[1713571200000, 3563.32239]"
241,"[1713657600000, 3667.56647]"
242,"[1713744000000, 3665.43121]"
243,"[1713830400000, 3710.98944]"
