,prices
168,"[1707264000000, 2373.89842]"
169,"[1707350400000, 2424.75995]"
170,"[1707436800000, 2424.12236]"
171,"[1707523200000, 2486.12862]"
172,"[1707609600000, 2499.20008]"
173,"[1707696000000, 2508.87667]"
174,"[1707782400000, 2655.55005]"
175,"[1707868800000, 2639.50789]"
176,"[1707955200000, 2778.14511]"
177,"[1708041600000, 2823.79653]"
178,"[1708128000000, 2805.11395]"
179,"[1708214400000, 2783.49905]"
180,"[1708300800000, 2868.72434]"
181,"[1708387200000, 2938.84722]"
182,"[1708473600000, 3009.52614]"
183,"[1708560000000, 2977.09463]"
184,"[1708646400000, 2974.36524]"
185,"[1708732800000, 2919.5547]"
186,"[1708819200000, 2985.21509]"
187,"[1708905600000, 3109.92867]"
188,"[1708992000000, 3168.20035]"
189,"[1709078400000, 3241.80667]"
190,"[1709164800000, 3374.47478]"
191,"[1709251200000, 3343.10088]"
192,"[1709337600000, 3426.92912]"
193,"[1709424000000, 3416.72483]"
194,"[1709510400000, 3477.943]"
195,"[1709596800000, 3623.86106]"
196,"[1709683200000, 3577.7948]"
197,"[1709769600000, 3816.16547]"
198,"[1709856000000, 3857.03916]"
199,"[1709942400000, 3890.27581]"
200,"[1710028800000, 3911.86096]"
201,"[1710115200000, 3882.69163]"
202,"[1710201600000, 4067.47883]"
203,"[1710288000000, 3971.17443]"
204,"[1710374400000, 4000.20269]"
205,"[1710460800000, 3876.35717]"
206,"[1710547200000, 3734.6411]"
207,"[1710633600000, 3512.92011]"
208,"[1710720000000, 3647.2106]"
209,"[1710806400000, 3524.38779]"
210,"[1710892800000, 3159.82474]"
211,"[1710979200000, 3510.92823]"
212,"[1711065600000, 3486.52609]"
213,"[1711152000000, 3317.71737]"
214,"[1711238400000, 3345.13003]"
215,"[1711324800000, 3447.43566]"
216,"[1711411200000, 3582.36812]"
217,"[1711497600000, 3590.49858]"
218,"[1711584000000, 3498.73412]"
219,"[1711670400000, 3552.37851]"
220,"[1711756800000, 3504.0523]"
221,"[1711843200000, 3497.88567]"
222,"[1711929600000, 3631.85075]"
223,"[1712016000000, 3500.23718]"
224,"[1712102400000, 3267.89889]"
225,"[1712188800000, 3309.73126]"
226,"[1712275200000, 3323.3694]"
227,"[1712361600000, 3319.42824]"
228,"[1712448000000, 3358.74471]"
229,"[1712534400000, 3448.73605]"
230,"[1712620800000, 3687.94914]"
231,"[1712707200000, 3498.76009]"
232,"[1712793600000, 3535.21623]"
233,"[1712880000000, 3500.86748]"
234,"[1712966400000, 3235.25308]"
235,"[1713052800000, 2996.65048]"
236,"[1713139200000, 3151.67632]"
237,"[1713225600000, 3097.4543]"
238,"[1713312000000, 3077.54194]"
239,"[1713398400000, 2976.98848]"
240,"[1713484800000, 3063.00619]"
241,"[1713571200000, 3063.76692]"
242,"[1713657600000, 3150.50145]"
243,"[1713744000000, 3147.5216]"
244,"[1713830400000, 3199.42924]"
245,"[1713916800000, 3216.49806]"
246,"[1714003200000, 3136.27855]"
247,"[1714089600000, 3155.29598]"
248,"[1714176000000, 3129.25792]"
249,"[1714262400000, 3257.93334]"
250,"[1714348800000, 3257.76649]"
251,"[1714435200000, 3212.59024]"
252,"[1714521600000, 3018.97064]"
253,"[1714608000000, 2972.51153]"
254,"[1714694400000, 2981.90675]"
255,"[1714780800000, 3097.85253]"
256,"[1714867200000, 3113.72149]"
257,"[1714953600000, 3134.62056]"
258,"[1715040000000, 3063.75177]"
259,"[1715126400000, 3013.82866]"
260,"[1715212800000, 2973.90356]"
261,"[1715299200000, 3035.86469]"
262,"[1715385600000, 2909.54347]"
263,"[1715472000000, 2907.79661]"
264,"[1715558400000, 2930.3497]"
265,"[1715644800000, 2947.06045]"
266,"[1715731200000, 2879.7662]"
267,"[1715817600000, 3027.65843]"
268,"[1715904000000, 2941.36812]"
269,"[1715990400000, 3091.05747]"
270,"[1716076800000, 3119.06633]"
271,"[1716163200000, 3069.55187]"
272,"[1716249600000, 3652.34266]"
273,"[1716336000000, 3793.17716]"
274,"[1716422400000, 3739.30262]"
275,"[1716508800000, 3765.56109]"
276,"[1716595200000, 3725.37946]"
277,"[1716681600000, 3748.54238]"
278,"[1716768000000, 3824.7083]"
279,"[1716854400000, 3893.32368]"
280,"[1716940800000, 3839.23462]"
281,"[1717027200000, 3761.63746]"
282,"[1717113600000, 3747.37939]"
283,"[1717200000000, 3759.22255]"
284,"[1717286400000, 3811.41024]"
285,"[1717372800000, 3777.98359]"
286,"[1717459200000, 3765.43401]"
287,"[1717545600000, 3814.34732]"
288,"[1717632000000, 3866.79303]"
289,"[1717718400000, 3810.53325]"
290,"[1717804800000, 3676.42367]"
291,"[1717891200000, 3681.0495]"
292,"[1717977600000, 3703.28022]"
293,"[1718064000000, 3664.23558]"
294,"[1718150400000, 3497.81523]"
295,"[1718236800000, 3559.15447]"
296,"[1718323200000, 3466.12893]"
297,"[1718409600000, 3479.57704]"
298,"[1718496000000, 3563.67747]"
299,"[1718582400000, 3617.06819]"
300,"[1718668800000, 3511.55891]"
301,"[1718755200000, 3483.08667]"
302,"[1718841600000, 3554.9474]"
303,"[1718928000000, 3511.297]"
304,"[1719014400000, 3515.311]"
305,"[1719100800000, 3495.6332]"
306,"[1719187200000, 3415.96295]"
307,"[1719273600000, 3353.94622]"
308,"[1719360000000, 3393.63393]"
309,"[1719446400000, 3364.2697]"
310,"[1719532800000, 3442.99844]"
311,"[1719619200000, 3373.71658]"
312,"[1719705600000, 3370.5303]"
313,"[1719792000000, 3435.0299]"
314,"[1719878400000, 3438.0059]"
315,"[1719964800000, 3415.88993]"
316,"[1720051200000, 3295.34028]"
317,"[1720137600000, 3066.23429]"
318,"[1720224000000, 2981.82424]"
319,"[1720310400000, 3062.06833]"
320,"[1720396800000, 2928.10831]"
321,"[1720483200000, 3016.03848]"
322,"[1720569600000, 3063.09678]"
323,"[1720656000000, 3099.50307]"
324,"[1720742400000, 3101.0437]"
325,"[1720828800000, 3132.09324]"
326,"[1720915200000, 3181.48454]"
327,"[1721001600000, 3258.67202]"
328,"[1721088000000, 3491.61187]"
329,"[1721174400000, 3448.32115]"
330,"[1721260800000, 3390.19648]"
331,"[1721347200000, 3429.04301]"
332,"[1721433600000, 3505.1311]"
333,"[1721520000000, 3521.96471]"
334,"[1721606400000, 3531.85549]"
335,"[1721692800000, 3441.66676]"
336,"[1721779200000, 3483.30937]"
337,"[1721865600000, 3333.82307]"
338,"[1721952000000, 3173.8884]"
339,"[1722038400000, 3277.45292]"
340,"[1722124800000, 3253.71626]"
341,"[1722211200000, 3272.02182]"
342,"[1722297600000, 3319.73614]"
343,"[1722384000000, 3275.76959]"
344,"[1722470400000, 3232.00637]"
345,"[1722556800000, 3201.41102]"
346,"[1722643200000, 2981.19783]"
347,"[1722729600000, 2904.94238]"
348,"[1722816000000, 2682.48404]"
349,"[1722902400000, 2413.1873]"
350,"[1722988800000, 2450.59874]"
351,"[1723075200000, 2335.85534]"
352,"[1723161600000, 2685.02859]"
353,"[1723248000000, 2601.22069]"
354,"[1723334400000, 2607.25365]"
355,"[1723420800000, 2556.6151]"
356,"[1723507200000, 2725.81116]"
357,"[1723593600000, 2705.01482]"
358,"[1723680000000, 2663.29068]"
359,"[1723766400000, 2570.67304]"
360,"[1723852800000, 2592.68983]"
361,"[1723939200000, 2611.52961]"
362,"[1724025600000, 2611.10183]"
363,"[1724112000000, 2638.17954]"
364,"[1724198400000, 2575.4773]"
