,prices
177,"[1708128000000, 1.0011]"
178,"[1708214400000, 1.00061]"
179,"[1708300800000, 1.00103]"
180,"[1708387200000, 0.99987]"
181,"[1708473600000, 1.00046]"
182,"[1708560000000, 1.0011]"
183,"[1708646400000, 0.99973]"
184,"[1708732800000, 0.99974]"
185,"[1708819200000, 0.99944]"
186,"[1708905600000, 0.99999]"
187,"[1708992000000, 1.00017]"
188,"[1709078400000, 1.00047]"
189,"[1709164800000, 0.99878]"
190,"[1709251200000, 0.99884]"
191,"[1709337600000, 1.00033]"
192,"[1709424000000, 1.00075]"
193,"[1709510400000, 1.00144]"
194,"[1709596800000, 1.00243]"
195,"[1709683200000, 1.00147]"
196,"[1709769600000, 1.00147]"
197,"[1709856000000, 1.00023]"
198,"[1709942400000, 1.00257]"
199,"[1710028800000, 1.00218]"
200,"[1710115200000, 1.00152]"
201,"[1710201600000, 0.99998]"
202,"[1710288000000, 0.99987]"
203,"[1710374400000, 1.00047]"
204,"[1710460800000, 0.99913]"
205,"[1710547200000, 0.99908]"
206,"[1710633600000, 0.99726]"
207,"[1710720000000, 0.99983]"
208,"[1710806400000, 0.9991]"
209,"[1710892800000, 1.00007]"
210,"[1710979200000, 0.9996]"
211,"[1711065600000, 1.0004]"
212,"[1711152000000, 1.00052]"
213,"[1711238400000, 0.99908]"
214,"[1711324800000, 1.00033]"
215,"[1711411200000, 0.99996]"
216,"[1711497600000, 1.00144]"
217,"[1711584000000, 1.00154]"
218,"[1711670400000, 0.99943]"
219,"[1711756800000, 1.00018]"
220,"[1711843200000, 1.00058]"
221,"[1711929600000, 1.00005]"
222,"[1712016000000, 1.00022]"
223,"[1712102400000, 1.00057]"
224,"[1712188800000, 1.00007]"
225,"[1712275200000, 1.00051]"
226,"[1712361600000, 1.00041]"
227,"[1712448000000, 0.99884]"
228,"[1712534400000, 0.99998]"
229,"[1712620800000, 1.00004]"
230,"[1712707200000, 0.99974]"
231,"[1712793600000, 1.00005]"
232,"[1712880000000, 1.00019]"
233,"[1712966400000, 1.0005]"
234,"[1713052800000, 1.0002]"
235,"[1713139200000, 1.00127]"
236,"[1713225600000, 0.99986]"
237,"[1713312000000, 0.99982]"
238,"[1713398400000, 0.99988]"
239,"[1713484800000, 1.00022]"
240,"[1713571200000, 1.00026]"
241,"[1713657600000, 1.00044]"
242,"[1713744000000, 0.99995]"
243,"[1713830400000, 0.99996]"
244,"[1713916800000, 1.00024]"
245,"[1714003200000, 0.99972]"
246,"[1714089600000, 0.99982]"
247,"[1714176000000, 0.9997]"
248,"[1714262400000, 0.99963]"
249,"[1714348800000, 0.99988]"
250,"[1714435200000, 0.99934]"
251,"[1714521600000, 0.99869]"
252,"[1714608000000, 0.99875]"
253,"[1714694400000, 0.99997]"
254,"[1714780800000, 0.99995]"
255,"[1714867200000, 1.00014]"
256,"[1714953600000, 0.99957]"
257,"[1715040000000, 0.99981]"
258,"[1715126400000, 1.00017]"
259,"[1715212800000, 0.99986]"
260,"[1715299200000, 1.00026]"
261,"[1715385600000, 0.99983]"
262,"[1715472000000, 0.99964]"
263,"[1715558400000, 0.99928]"
264,"[1715644800000, 1.00007]"
265,"[1715731200000, 0.9995]"
266,"[1715817600000, 0.9996]"
267,"[1715904000000, 0.99992]"
268,"[1715990400000, 1.00111]"
269,"[1716076800000, 0.99966]"
270,"[1716163200000, 0.99995]"
271,"[1716249600000, 1.0003]"
272,"[1716336000000, 0.99889]"
273,"[1716422400000, 0.99978]"
274,"[1716508800000, 0.99986]"
275,"[1716595200000, 0.99953]"
276,"[1716681600000, 0.99988]"
277,"[1716768000000, 0.99977]"
278,"[1716854400000, 0.99926]"
279,"[1716940800000, 0.99885]"
280,"[1717027200000, 0.99892]"
281,"[1717113600000, 0.99952]"
282,"[1717200000000, 0.99921]"
283,"[1717286400000, 0.99938]"
284,"[1717372800000, 0.99934]"
285,"[1717459200000, 0.99988]"
286,"[1717545600000, 1.00016]"
287,"[1717632000000, 1.00076]"
288,"[1717718400000, 0.99956]"
289,"[1717804800000, 0.99959]"
290,"[1717891200000, 0.99994]"
291,"[1717977600000, 1.00007]"
292,"[1718064000000, 0.99972]"
293,"[1718150400000, 0.99971]"
294,"[1718236800000, 0.99964]"
295,"[1718323200000, 0.99908]"
296,"[1718409600000, 0.99937]"
297,"[1718496000000, 0.99937]"
298,"[1718582400000, 0.99926]"
299,"[1718668800000, 0.99963]"
300,"[1718755200000, 0.99992]"
301,"[1718841600000, 0.99994]"
302,"[1718928000000, 0.99905]"
303,"[1719014400000, 0.99956]"
304,"[1719100800000, 0.99951]"
305,"[1719187200000, 0.99895]"
306,"[1719273600000, 0.99983]"
307,"[1719360000000, 0.99992]"
308,"[1719446400000, 0.99918]"
309,"[1719532800000, 0.99873]"
310,"[1719619200000, 0.99813]"
311,"[1719705600000, 0.99837]"
312,"[1719792000000, 0.99851]"
313,"[1719878400000, 0.99903]"
314,"[1719964800000, 0.99867]"
315,"[1720051200000, 0.99914]"
316,"[1720137600000, 0.99916]"
317,"[1720224000000, 1.00036]"
318,"[1720310400000, 1.00053]"
319,"[1720396800000, 0.99986]"
320,"[1720483200000, 0.99976]"
321,"[1720569600000, 0.9996]"
322,"[1720656000000, 0.99966]"
323,"[1720742400000, 1.00033]"
324,"[1720828800000, 1.0001]"
325,"[1720915200000, 0.99977]"
326,"[1721001600000, 0.9999]"
327,"[1721088000000, 1.00094]"
328,"[1721174400000, 1.0006]"
329,"[1721260800000, 0.99984]"
330,"[1721347200000, 0.99948]"
331,"[1721433600000, 1.00045]"
332,"[1721520000000, 1.00036]"
333,"[1721606400000, 1.00067]"
334,"[1721692800000, 1.00046]"
335,"[1721779200000, 1.00015]"
336,"[1721865600000, 1.00005]"
337,"[1721952000000, 0.99982]"
338,"[1722038400000, 1.00015]"
339,"[1722124800000, 1.00002]"
340,"[1722211200000, 1.00017]"
341,"[1722297600000, 1.00005]"
342,"[1722384000000, 0.99969]"
343,"[1722470400000, 0.99993]"
344,"[1722556800000, 0.99921]"
345,"[1722643200000, 0.99865]"
346,"[1722729600000, 0.99953]"
347,"[1722816000000, 0.99833]"
348,"[1722902400000, 0.99834]"
349,"[1722988800000, 0.9998]"
350,"[1723075200000, 0.99998]"
351,"[1723161600000, 1.00093]"
352,"[1723248000000, 1.00243]"
353,"[1723334400000, 1.00017]"
354,"[1723420800000, 1.00067]"
355,"[1723507200000, 1.00014]"
356,"[1723593600000, 1.00088]"
357,"[1723680000000, 1.00004]"
358,"[1723766400000, 1.00009]"
359,"[1723852800000, 0.9998]"
360,"[1723939200000, 1.0002]"
361,"[1724025600000, 0.9986]"
362,"[1724112000000, 1.001]"
363,"[1724198400000, 0.99993]"
364,"[1724284800000, 1.0004]"
