,prices
177,"[1707955200000, 0.12956]"
178,"[1708041600000, 0.13117]"
179,"[1708128000000, 0.13291]"
180,"[1708214400000, 0.13591]"
181,"[1708300800000, 0.13525]"
182,"[1708387200000, 0.13638]"
183,"[1708473600000, 0.13927]"
184,"[1708560000000, 0.13991]"
185,"[1708646400000, 0.13906]"
186,"[1708732800000, 0.13818]"
187,"[1708819200000, 0.13741]"
188,"[1708905600000, 0.13758]"
189,"[1708992000000, 0.13983]"
190,"[1709078400000, 0.14286]"
191,"[1709164800000, 0.1423]"
192,"[1709251200000, 0.14048]"
193,"[1709337600000, 0.14152]"
194,"[1709424000000, 0.1413]"
195,"[1709510400000, 0.14072]"
196,"[1709596800000, 0.14055]"
197,"[1709683200000, 0.13636]"
198,"[1709769600000, 0.13787]"
199,"[1709856000000, 0.13713]"
200,"[1709942400000, 0.13701]"
201,"[1710028800000, 0.13608]"
202,"[1710115200000, 0.13393]"
203,"[1710201600000, 0.13368]"
204,"[1710288000000, 0.1314]"
205,"[1710374400000, 0.13197]"
206,"[1710460800000, 0.1289]"
207,"[1710547200000, 0.12626]"
208,"[1710633600000, 0.12488]"
209,"[1710720000000, 0.12657]"
210,"[1710806400000, 0.12399]"
211,"[1710892800000, 0.11248]"
212,"[1710979200000, 0.12087]"
213,"[1711065600000, 0.12106]"
214,"[1711152000000, 0.11719]"
215,"[1711238400000, 0.11852]"
216,"[1711324800000, 0.12018]"
217,"[1711411200000, 0.12043]"
218,"[1711497600000, 0.12086]"
219,"[1711584000000, 0.11967]"
220,"[1711670400000, 0.12034]"
221,"[1711756800000, 0.12003]"
222,"[1711843200000, 0.12252]"
223,"[1711929600000, 0.1229]"
224,"[1712016000000, 0.12063]"
225,"[1712102400000, 0.11667]"
226,"[1712188800000, 0.11728]"
227,"[1712275200000, 0.11922]"
228,"[1712361600000, 0.11791]"
229,"[1712448000000, 0.11951]"
230,"[1712534400000, 0.12051]"
231,"[1712620800000, 0.12296]"
232,"[1712707200000, 0.12104]"
233,"[1712793600000, 0.11913]"
234,"[1712880000000, 0.12038]"
235,"[1712966400000, 0.11499]"
236,"[1713052800000, 0.11027]"
237,"[1713139200000, 0.11262]"
238,"[1713225600000, 0.11163]"
239,"[1713312000000, 0.11183]"
240,"[1713398400000, 0.10973]"
241,"[1713484800000, 0.10928]"
242,"[1713571200000, 0.11008]"
243,"[1713657600000, 0.11105]"
244,"[1713744000000, 0.11123]"
245,"[1713830400000, 0.11228]"
246,"[1713916800000, 0.11334]"
247,"[1714003200000, 0.11322]"
248,"[1714089600000, 0.11722]"
249,"[1714176000000, 0.12004]"
250,"[1714262400000, 0.11985]"
251,"[1714348800000, 0.12136]"
252,"[1714435200000, 0.11898]"
253,"[1714521600000, 0.11934]"
254,"[1714608000000, 0.12018]"
255,"[1714694400000, 0.12226]"
256,"[1714780800000, 0.12275]"
257,"[1714867200000, 0.12231]"
258,"[1714953600000, 0.12109]"
259,"[1715040000000, 0.11861]"
260,"[1715126400000, 0.12057]"
261,"[1715212800000, 0.1229]"
262,"[1715299200000, 0.12629]"
263,"[1715385600000, 0.12739]"
264,"[1715472000000, 0.12635]"
265,"[1715558400000, 0.12734]"
266,"[1715644800000, 0.12569]"
267,"[1715731200000, 0.12538]"
268,"[1715817600000, 0.12631]"
269,"[1715904000000, 0.12508]"
270,"[1715990400000, 0.12453]"
271,"[1716076800000, 0.12298]"
272,"[1716163200000, 0.12115]"
273,"[1716249600000, 0.12443]"
274,"[1716336000000, 0.12366]"
275,"[1716422400000, 0.12013]"
276,"[1716508800000, 0.11521]"
277,"[1716595200000, 0.11541]"
278,"[1716681600000, 0.11374]"
279,"[1716768000000, 0.11313]"
280,"[1716854400000, 0.11248]"
281,"[1716940800000, 0.11116]"
282,"[1717027200000, 0.11194]"
283,"[1717113600000, 0.11202]"
284,"[1717200000000, 0.11207]"
285,"[1717286400000, 0.11248]"
286,"[1717372800000, 0.11471]"
287,"[1717459200000, 0.11342]"
288,"[1717545600000, 0.11449]"
289,"[1717632000000, 0.1147]"
290,"[1717718400000, 0.11471]"
291,"[1717804800000, 0.1127]"
292,"[1717891200000, 0.11475]"
293,"[1717977600000, 0.11688]"
294,"[1718064000000, 0.11759]"
295,"[1718150400000, 0.11645]"
296,"[1718236800000, 0.11642]"
297,"[1718323200000, 0.11679]"
298,"[1718409600000, 0.11639]"
299,"[1718496000000, 0.1152]"
300,"[1718582400000, 0.11718]"
301,"[1718668800000, 0.11676]"
302,"[1718755200000, 0.11541]"
303,"[1718841600000, 0.1158]"
304,"[1718928000000, 0.11664]"
305,"[1719014400000, 0.1183]"
306,"[1719100800000, 0.11959]"
307,"[1719187200000, 0.11913]"
308,"[1719273600000, 0.11914]"
309,"[1719360000000, 0.12188]"
310,"[1719446400000, 0.12246]"
311,"[1719532800000, 0.12186]"
312,"[1719619200000, 0.12298]"
313,"[1719705600000, 0.1253]"
314,"[1719792000000, 0.12459]"
315,"[1719878400000, 0.12771]"
316,"[1719964800000, 0.12909]"
317,"[1720051200000, 0.1285]"
318,"[1720137600000, 0.12741]"
