,prices
177,"[1707955200000, 0.99878]"
178,"[1708041600000, 0.99969]"
179,"[1708128000000, 0.99952]"
180,"[1708214400000, 0.9992]"
181,"[1708300800000, 1.00057]"
182,"[1708387200000, 0.99962]"
183,"[1708473600000, 1.00086]"
184,"[1708560000000, 1.00085]"
185,"[1708646400000, 1.00059]"
186,"[1708732800000, 1.00002]"
187,"[1708819200000, 0.99932]"
188,"[1708905600000, 0.99985]"
189,"[1708992000000, 0.99919]"
190,"[1709078400000, 1.00027]"
191,"[1709164800000, 1.0008]"
192,"[1709251200000, 0.99886]"
193,"[1709337600000, 0.99854]"
194,"[1709424000000, 1.00001]"
195,"[1709510400000, 1.00069]"
196,"[1709596800000, 1.00141]"
197,"[1709683200000, 1.00285]"
198,"[1709769600000, 1.00048]"
199,"[1709856000000, 0.99878]"
200,"[1709942400000, 1.00068]"
201,"[1710028800000, 1.00032]"
202,"[1710115200000, 1.00092]"
203,"[1710201600000, 0.99938]"
204,"[1710288000000, 1.00086]"
205,"[1710374400000, 1.00067]"
206,"[1710460800000, 0.99916]"
207,"[1710547200000, 0.99909]"
208,"[1710633600000, 0.99847]"
209,"[1710720000000, 1.00059]"
210,"[1710806400000, 0.9991]"
211,"[1710892800000, 0.99771]"
212,"[1710979200000, 1.00035]"
213,"[1711065600000, 1.00111]"
214,"[1711152000000, 1.00044]"
215,"[1711238400000, 0.99907]"
216,"[1711324800000, 0.99995]"
217,"[1711411200000, 1.00058]"
218,"[1711497600000, 0.99997]"
219,"[1711584000000, 1.00263]"
220,"[1711670400000, 0.99907]"
221,"[1711756800000, 0.99989]"
222,"[1711843200000, 1.00026]"
223,"[1711929600000, 0.99988]"
224,"[1712016000000, 0.99961]"
225,"[1712102400000, 0.99934]"
226,"[1712188800000, 0.99975]"
227,"[1712275200000, 1.00101]"
228,"[1712361600000, 0.99889]"
229,"[1712448000000, 0.99797]"
230,"[1712534400000, 0.99983]"
231,"[1712620800000, 0.99948]"
232,"[1712707200000, 1.00083]"
233,"[1712793600000, 0.99957]"
234,"[1712880000000, 1.00096]"
235,"[1712966400000, 1.0013]"
236,"[1713052800000, 0.99896]"
237,"[1713139200000, 1.00038]"
238,"[1713225600000, 1.0007]"
239,"[1713312000000, 0.99978]"
240,"[1713398400000, 1.00004]"
241,"[1713484800000, 0.99983]"
242,"[1713571200000, 1.00075]"
243,"[1713657600000, 0.99981]"
244,"[1713744000000, 0.99972]"
245,"[1713830400000, 0.99972]"
246,"[1713916800000, 1.00007]"
247,"[1714003200000, 1.00058]"
248,"[1714089600000, 0.99995]"
249,"[1714176000000, 0.99997]"
250,"[1714262400000, 1.00032]"
251,"[1714348800000, 1.00003]"
252,"[1714435200000, 0.99948]"
253,"[1714521600000, 1.00002]"
254,"[1714608000000, 0.9996]"
255,"[1714694400000, 0.99999]"
256,"[1714780800000, 0.99951]"
257,"[1714867200000, 0.99968]"
258,"[1714953600000, 1.0001]"
259,"[1715040000000, 0.99976]"
260,"[1715126400000, 0.99966]"
261,"[1715212800000, 1.0004]"
262,"[1715299200000, 1.00097]"
263,"[1715385600000, 0.99996]"
264,"[1715472000000, 0.9999]"
265,"[1715558400000, 1.00015]"
266,"[1715644800000, 1.00013]"
267,"[1715731200000, 0.99998]"
268,"[1715817600000, 0.9996]"
269,"[1715904000000, 0.99971]"
270,"[1715990400000, 1.00092]"
