,prices
177,"[1707955200000, 20.2664]"
178,"[1708041600000, 19.94766]"
179,"[1708128000000, 19.56752]"
180,"[1708214400000, 20.0333]"
181,"[1708300800000, 20.08997]"
182,"[1708387200000, 19.82336]"
183,"[1708473600000, 19.31653]"
184,"[1708560000000, 18.57055]"
185,"[1708646400000, 18.14192]"
186,"[1708732800000, 17.95482]"
187,"[1708819200000, 18.50716]"
188,"[1708905600000, 18.71345]"
189,"[1708992000000, 19.09942]"
190,"[1709078400000, 19.04937]"
191,"[1709164800000, 19.44422]"
192,"[1709251200000, 19.2836]"
193,"[1709337600000, 20.03663]"
194,"[1709424000000, 21.42547]"
195,"[1709510400000, 20.49979]"
196,"[1709596800000, 20.48192]"
197,"[1709683200000, 19.04414]"
198,"[1709769600000, 20.08947]"
199,"[1709856000000, 20.11065]"
200,"[1709942400000, 19.73484]"
201,"[1710028800000, 20.04823]"
202,"[1710115200000, 21.63835]"
203,"[1710201600000, 21.29995]"
204,"[1710288000000, 20.66152]"
205,"[1710374400000, 20.74727]"
206,"[1710460800000, 20.89479]"
207,"[1710547200000, 19.58629]"
208,"[1710633600000, 18.07655]"
209,"[1710720000000, 18.64971]"
210,"[1710806400000, 18.33993]"
211,"[1710892800000, 16.84683]"
212,"[1710979200000, 18.37478]"
213,"[1711065600000, 18.43231]"
214,"[1711152000000, 18.2298]"
215,"[1711238400000, 18.11745]"
216,"[1711324800000, 18.54589]"
217,"[1711411200000, 19.34951]"
218,"[1711497600000, 20.03646]"
219,"[1711584000000, 19.3309]"
220,"[1711670400000, 19.16318]"
221,"[1711756800000, 18.99921]"
222,"[1711843200000, 18.94931]"
223,"[1711929600000, 19.10962]"
224,"[1712016000000, 18.3942]"
225,"[1712102400000, 17.97703]"
226,"[1712188800000, 17.72495]"
227,"[1712275200000, 17.78971]"
228,"[1712361600000, 17.34174]"
229,"[1712448000000, 17.56336]"
230,"[1712534400000, 17.91812]"
231,"[1712620800000, 18.09391]"
232,"[1712707200000, 17.36118]"
233,"[1712793600000, 17.40698]"
234,"[1712880000000, 17.55194]"
235,"[1712966400000, 15.17677]"
236,"[1713052800000, 13.37509]"
237,"[1713139200000, 14.11966]"
238,"[1713225600000, 13.57676]"
239,"[1713312000000, 13.50462]"
240,"[1713398400000, 13.1478]"
241,"[1713484800000, 13.88163]"
242,"[1713571200000, 13.99209]"
243,"[1713657600000, 14.93681]"
244,"[1713744000000, 15.06737]"
245,"[1713830400000, 15.46131]"
246,"[1713916800000, 15.19804]"
247,"[1714003200000, 14.53321]"
248,"[1714089600000, 14.59768]"
249,"[1714176000000, 14.47742]"
250,"[1714262400000, 14.27523]"
251,"[1714348800000, 13.78673]"
252,"[1714435200000, 14.06125]"
253,"[1714521600000, 13.1359]"
254,"[1714608000000, 13.32353]"
255,"[1714694400000, 13.59628]"
256,"[1714780800000, 14.10774]"
257,"[1714867200000, 14.31735]"
258,"[1714953600000, 14.3654]"
259,"[1715040000000, 14.50657]"
260,"[1715126400000, 14.02919]"
261,"[1715212800000, 13.91035]"
262,"[1715299200000, 14.24372]"
263,"[1715385600000, 13.56779]"
264,"[1715472000000, 13.28895]"
265,"[1715558400000, 13.54314]"
266,"[1715644800000, 13.36787]"
267,"[1715731200000, 12.98206]"
268,"[1715817600000, 13.88962]"
269,"[1715904000000, 15.50037]"
270,"[1715990400000, 16.26587]"
271,"[1716076800000, 16.2945]"
272,"[1716163200000, 16.58551]"
273,"[1716249600000, 17.31146]"
274,"[1716336000000, 16.75255]"
275,"[1716422400000, 16.34647]"
276,"[1716508800000, 16.58843]"
277,"[1716595200000, 17.24482]"
278,"[1716681600000, 17.43562]"
279,"[1716768000000, 17.04863]"
280,"[1716854400000, 18.78892]"
281,"[1716940800000, 18.51595]"
282,"[1717027200000, 18.45504]"
283,"[1717113600000, 17.95745]"
284,"[1717200000000, 18.41544]"
285,"[1717286400000, 18.40854]"
286,"[1717372800000, 18.12624]"
287,"[1717459200000, 17.59242]"
288,"[1717545600000, 17.73455]"
289,"[1717632000000, 17.75666]"
290,"[1717718400000, 17.26974]"
291,"[1717804800000, 16.3292]"
292,"[1717891200000, 15.94806]"
293,"[1717977600000, 16.37022]"
294,"[1718064000000, 15.89442]"
295,"[1718150400000, 14.98378]"
296,"[1718236800000, 15.99445]"
297,"[1718323200000, 15.12114]"
298,"[1718409600000, 14.74104]"
299,"[1718496000000, 14.85987]"
300,"[1718582400000, 15.11457]"
301,"[1718668800000, 14.52606]"
302,"[1718755200000, 13.94877]"
303,"[1718841600000, 14.32197]"
304,"[1718928000000, 14.25229]"
305,"[1719014400000, 13.85661]"
306,"[1719100800000, 13.47274]"
307,"[1719187200000, 13.16702]"
308,"[1719273600000, 13.62452]"
309,"[1719360000000, 14.1983]"
310,"[1719446400000, 13.89926]"
311,"[1719532800000, 14.3788]"
312,"[1719619200000, 13.76188]"
313,"[1719705600000, 13.50042]"
314,"[1719792000000, 14.24178]"
315,"[1719878400000, 14.3158]"
316,"[1719964800000, 14.39302]"
317,"[1720051200000, 13.62979]"
318,"[1720137600000, 12.58926]"
319,"[1720224000000, 12.30565]"
320,"[1720310400000, 13.17536]"
321,"[1720396800000, 12.33432]"
322,"[1720483200000, 13.1167]"
323,"[1720569600000, 12.8223]"
324,"[1720656000000, 12.80075]"
325,"[1720742400000, 12.35736]"
326,"[1720828800000, 12.73579]"
327,"[1720915200000, 13.0061]"
328,"[1721001600000, 13.44306]"
329,"[1721088000000, 14.42153]"
330,"[1721174400000, 14.23103]"
331,"[1721260800000, 13.74008]"
332,"[1721347200000, 13.59303]"
333,"[1721433600000, 14.07857]"
334,"[1721520000000, 14.26969]"
335,"[1721606400000, 14.79384]"
336,"[1721692800000, 13.95262]"
337,"[1721779200000, 13.92436]"
338,"[1721865600000, 13.3799]"
339,"[1721952000000, 12.93963]"
340,"[1722038400000, 13.54142]"
341,"[1722124800000, 13.57935]"
342,"[1722211200000, 13.29455]"
343,"[1722297600000, 13.54122]"
344,"[1722384000000, 13.13789]"
345,"[1722470400000, 12.82819]"
346,"[1722556800000, 12.91335]"
347,"[1722643200000, 11.89722]"
348,"[1722729600000, 11.69992]"
349,"[1722816000000, 10.8601]"
350,"[1722902400000, 9.51339]"
351,"[1722988800000, 10.04457]"
352,"[1723075200000, 9.49453]"
353,"[1723161600000, 10.74152]"
354,"[1723248000000, 10.55385]"
355,"[1723334400000, 10.55526]"
356,"[1723420800000, 10.01254]"
357,"[1723507200000, 10.56165]"
358,"[1723593600000, 10.5775]"
359,"[1723680000000, 10.39698]"
360,"[1723766400000, 10.171]"
361,"[1723852800000, 10.12949]"
362,"[1723939200000, 10.14347]"
363,"[1724025600000, 10.08891]"
364,"[1724112000000, 10.19206]"
