,prices
177,"[1708041600000, 41.61142]"
178,"[1708128000000, 40.31533]"
179,"[1708214400000, 39.74129]"
180,"[1708300800000, 40.22851]"
181,"[1708387200000, 39.47088]"
182,"[1708473600000, 38.5597]"
183,"[1708560000000, 37.66827]"
184,"[1708646400000, 36.8195]"
185,"[1708732800000, 35.95608]"
186,"[1708819200000, 36.76213]"
187,"[1708905600000, 37.44241]"
188,"[1708992000000, 39.27068]"
189,"[1709078400000, 39.23157]"
190,"[1709164800000, 40.28865]"
191,"[1709251200000, 40.87823]"
192,"[1709337600000, 42.68329]"
193,"[1709424000000, 44.26717]"
194,"[1709510400000, 42.57387]"
195,"[1709596800000, 43.08267]"
196,"[1709683200000, 39.7196]"
197,"[1709769600000, 41.56003]"
198,"[1709856000000, 43.3512]"
199,"[1709942400000, 42.7277]"
200,"[1710028800000, 43.08732]"
201,"[1710115200000, 42.01547]"
202,"[1710201600000, 48.80421]"
203,"[1710288000000, 55.46002]"
204,"[1710374400000, 54.77873]"
205,"[1710460800000, 54.20148]"
206,"[1710547200000, 58.24007]"
207,"[1710633600000, 53.36]"
208,"[1710720000000, 58.01074]"
209,"[1710806400000, 60.39187]"
210,"[1710892800000, 53.64903]"
211,"[1710979200000, 57.10351]"
212,"[1711065600000, 53.99354]"
213,"[1711152000000, 53.07428]"
214,"[1711238400000, 53.55837]"
215,"[1711324800000, 55.63722]"
216,"[1711411200000, 57.62838]"
217,"[1711497600000, 55.90561]"
218,"[1711584000000, 54.24446]"
219,"[1711670400000, 54.58054]"
220,"[1711756800000, 53.44912]"
221,"[1711843200000, 53.02059]"
222,"[1711929600000, 54.08011]"
223,"[1712016000000, 51.496]"
224,"[1712102400000, 46.8814]"
225,"[1712188800000, 45.96578]"
226,"[1712275200000, 46.51074]"
227,"[1712361600000, 45.43172]"
228,"[1712448000000, 48.15255]"
229,"[1712534400000, 49.11944]"
230,"[1712620800000, 49.92076]"
231,"[1712707200000, 46.5119]"
232,"[1712793600000, 47.29722]"
233,"[1712880000000, 46.06669]"
234,"[1712966400000, 39.42991]"
235,"[1713052800000, 34.17359]"
236,"[1713139200000, 37.46767]"
237,"[1713225600000, 35.1522]"
238,"[1713312000000, 34.78657]"
239,"[1713398400000, 33.61012]"
240,"[1713484800000, 34.82558]"
241,"[1713571200000, 34.80564]"
242,"[1713657600000, 38.22249]"
243,"[1713744000000, 37.10043]"
244,"[1713830400000, 39.21935]"
245,"[1713916800000, 38.2659]"
246,"[1714003200000, 36.37607]"
247,"[1714089600000, 35.58636]"
248,"[1714176000000, 34.41251]"
249,"[1714262400000, 34.49616]"
250,"[1714348800000, 33.921]"
251,"[1714435200000, 35.44238]"
252,"[1714521600000, 32.73187]"
253,"[1714608000000, 33.23117]"
254,"[1714694400000, 33.62366]"
255,"[1714780800000, 35.57175]"
256,"[1714867200000, 37.35665]"
257,"[1714953600000, 37.40619]"
258,"[1715040000000, 37.13641]"
259,"[1715126400000, 35.35022]"
260,"[1715212800000, 34.06635]"
261,"[1715299200000, 35.06124]"
262,"[1715385600000, 33.70724]"
263,"[1715472000000, 33.45585]"
264,"[1715558400000, 33.16695]"
265,"[1715644800000, 32.41599]"
266,"[1715731200000, 31.57573]"
267,"[1715817600000, 34.63222]"
268,"[1715904000000, 34.48359]"
269,"[1715990400000, 36.44446]"
270,"[1716076800000, 37.16922]"
271,"[1716163200000, 35.59482]"
272,"[1716249600000, 40.14018]"
273,"[1716336000000, 41.15968]"
274,"[1716422400000, 39.97399]"
275,"[1716508800000, 38.53113]"
276,"[1716595200000, 37.98158]"
277,"[1716681600000, 38.28376]"
