,prices
177,"[1708041600000, 113.59939]"
178,"[1708128000000, 110.50155]"
179,"[1708214400000, 108.92851]"
180,"[1708300800000, 112.21542]"
181,"[1708387200000, 111.27809]"
182,"[1708473600000, 108.56412]"
183,"[1708560000000, 105.34263]"
184,"[1708646400000, 102.04178]"
185,"[1708732800000, 100.09195]"
186,"[1708819200000, 104.18873]"
187,"[1708905600000, 103.43862]"
188,"[1708992000000, 109.8451]"
189,"[1709078400000, 108.17696]"
190,"[1709164800000, 117.43028]"
191,"[1709251200000, 125.68182]"
192,"[1709337600000, 130.04706]"
193,"[1709424000000, 129.88165]"
194,"[1709510400000, 130.30612]"
195,"[1709596800000, 133.32372]"
196,"[1709683200000, 126.39112]"
197,"[1709769600000, 130.66706]"
198,"[1709856000000, 144.10503]"
199,"[1709942400000, 145.19146]"
200,"[1710028800000, 144.81715]"
201,"[1710115200000, 144.25772]"
202,"[1710201600000, 148.79328]"
203,"[1710288000000, 150.72987]"
204,"[1710374400000, 163.6258]"
205,"[1710460800000, 176.223]"
206,"[1710547200000, 183.92428]"
207,"[1710633600000, 180.80174]"
208,"[1710720000000, 202.51891]"
209,"[1710806400000, 196.34529]"
210,"[1710892800000, 169.59756]"
211,"[1710979200000, 191.44188]"
212,"[1711065600000, 179.55446]"
213,"[1711152000000, 173.45564]"
214,"[1711238400000, 173.45377]"
215,"[1711324800000, 184.02186]"
216,"[1711411200000, 188.99685]"
217,"[1711497600000, 191.23615]"
218,"[1711584000000, 186.13894]"
219,"[1711670400000, 189.57499]"
220,"[1711756800000, 192.02727]"
221,"[1711843200000, 194.48104]"
222,"[1711929600000, 202.81433]"
223,"[1712016000000, 192.72525]"
224,"[1712102400000, 181.44094]"
225,"[1712188800000, 185.51116]"
226,"[1712275200000, 183.82146]"
227,"[1712361600000, 175.16816]"
228,"[1712448000000, 178.9597]"
229,"[1712534400000, 179.58219]"
230,"[1712620800000, 180.64287]"
231,"[1712707200000, 172.54664]"
232,"[1712793600000, 173.12196]"
233,"[1712880000000, 172.69616]"
234,"[1712966400000, 153.76828]"
235,"[1713052800000, 140.18115]"
236,"[1713139200000, 151.54672]"
237,"[1713225600000, 138.41385]"
238,"[1713312000000, 136.41605]"
239,"[1713398400000, 132.53115]"
240,"[1713484800000, 142.13172]"
241,"[1713571200000, 143.24497]"
242,"[1713657600000, 150.51709]"
243,"[1713744000000, 148.74146]"
244,"[1713830400000, 156.99217]"
245,"[1713916800000, 154.69386]"
246,"[1714003200000, 147.74509]"
247,"[1714089600000, 144.98793]"
248,"[1714176000000, 139.25901]"
249,"[1714262400000, 141.58181]"
250,"[1714348800000, 137.71788]"
251,"[1714435200000, 137.67148]"
252,"[1714521600000, 127.03908]"
253,"[1714608000000, 134.75362]"
254,"[1714694400000, 137.91565]"
255,"[1714780800000, 143.54987]"
256,"[1714867200000, 146.11104]"
257,"[1714953600000, 145.68571]"
258,"[1715040000000, 152.65486]"
259,"[1715126400000, 148.18698]"
260,"[1715212800000, 142.51602]"
261,"[1715299200000, 152.72555]"
262,"[1715385600000, 146.3105]"
263,"[1715472000000, 145.30835]"
264,"[1715558400000, 143.58732]"
265,"[1715644800000, 147.14466]"
266,"[1715731200000, 142.08449]"
267,"[1715817600000, 158.01313]"
268,"[1715904000000, 159.14534]"
269,"[1715990400000, 169.49971]"
270,"[1716076800000, 172.45084]"
271,"[1716163200000, 170.06735]"
272,"[1716249600000, 186.32492]"
273,"[1716336000000, 178.17449]"
274,"[1716422400000, 176.86885]"
275,"[1716508800000, 176.06406]"
276,"[1716595200000, 167.76688]"
277,"[1716681600000, 168.36979]"
278,"[1716768000000, 163.3586]"
279,"[1716854400000, 169.81443]"
280,"[1716940800000, 168.75056]"
281,"[1717027200000, 168.13547]"
282,"[1717113600000, 167.01447]"
283,"[1717200000000, 165.91353]"
284,"[1717286400000, 165.96324]"
285,"[1717372800000, 163.11854]"
286,"[1717459200000, 164.81255]"
287,"[1717545600000, 171.72813]"
288,"[1717632000000, 173.76957]"
289,"[1717718400000, 170.37272]"
290,"[1717804800000, 162.4532]"
291,"[1717891200000, 158.18075]"
292,"[1717977600000, 162.06371]"
293,"[1718064000000, 158.88637]"
294,"[1718150400000, 149.30184]"
295,"[1718236800000, 154.85704]"
296,"[1718323200000, 147.23468]"
297,"[1718409600000, 143.02143]"
298,"[1718496000000, 145.2819]"
299,"[1718582400000, 150.6556]"
300,"[1718668800000, 143.20198]"
301,"[1718755200000, 137.46299]"
302,"[1718841600000, 135.40309]"
303,"[1718928000000, 133.44257]"
304,"[1719014400000, 134.51329]"
305,"[1719100800000, 133.48608]"
306,"[1719187200000, 128.54028]"
307,"[1719273600000, 132.33779]"
308,"[1719360000000, 136.51375]"
309,"[1719446400000, 136.44151]"
310,"[1719532800000, 149.23075]"
311,"[1719619200000, 139.72595]"
312,"[1719705600000, 139.8669]"
313,"[1719792000000, 146.4287]"
314,"[1719878400000, 146.34738]"
315,"[1719964800000, 153.63922]"
316,"[1720051200000, 140.7242]"
317,"[1720137600000, 127.93485]"
318,"[1720224000000, 134.41985]"
319,"[1720310400000, 143.10109]"
320,"[1720396800000, 131.85304]"
321,"[1720483200000, 139.31769]"
322,"[1720569600000, 141.45707]"
323,"[1720656000000, 141.92266]"
324,"[1720742400000, 136.07413]"
325,"[1720828800000, 139.36219]"
326,"[1720915200000, 141.67524]"
327,"[1721001600000, 147.95484]"
328,"[1721088000000, 159.92387]"
329,"[1721174400000, 160.78254]"
330,"[1721260800000, 155.40161]"
331,"[1721347200000, 159.01459]"
332,"[1721433600000, 169.21631]"
333,"[1721520000000, 174.10165]"
334,"[1721606400000, 184.45125]"
335,"[1721692800000, 178.98087]"
